State,City,Location,Station code,Type,Category of ES,No. of mon. days (n),Min,Max,NO2 Annual average (µg/m3),10 percentile,90 percentile,Std. Dev.,Percentage- exceedence(24 hourly),Air Quality
Karnataka,Bangalore,Victoria hospital,406,RIRuO,NA,93,24,45,30,28,31,2,0,Moderate
Karnataka,Belgaum,Karnataka SPCB Office Building,460,ES,Sahyadri ,92,9,42,19,11,27,7,12,Moderate
Karnataka,Gulburga,Government Hospital,459,RIRuO,NA,68,5,21,11,7,15,3,0,Low
Karnataka,Hassan,KSRTC bus stand building,458,RIRuO,NA,106,16,19,17,17,18,1,0,Low
Karnataka,Hubli-Dharwad,"Lakkamanahalli Industrial Area, Dharwad",432,RIRuO,NA,94,11,18,15,12,17,2,0,Low
Karnataka,Hubli-Dharwad,"Rani Chennamma Circle, Hubli",431,RIRuO,NA,93,11,17,14,12,16,1,0,Low
Karnataka,Mandya,"KSPCB Building, Bandigowda Badarahe",676,RIRuO,NA,78,19,34,24,21,28,3,0,Moderate
Karnataka,Mangalore,Baikampady Industrial Area,488,RIRuO,NA,104,5,15,7,5,9,2,0,Low
Karnataka,Mysore,"K.R.Circle, Visvesvaraya Bldg",40,RIRuO,NA,93,16,28,23,21,25,2,0,Moderate
Karnataka,Mysore,KSPCB Bldg. Hebbal Ind. Area,328,RIRuO,NA,105,18,41,23,21,24,3,0,Moderate
Karnataka,Devanagere,"Mothi Theatre, Gandhi Circle, P.B. Road",674,RIRuO,NA,107,5,255,13,8,15,24,1,Low
Karnataka,Devanagere,"HPF Intakewell,  Kumarapattnam",675,RIRuO,NA,99,5,26,9,6,12,3,0,Low
Karnataka,Devanagere,"Regional Office building, KSPCB",673,RIRuO,NA,83,4,20,7,5,11,3,0,Low
Kerala,Alappuzha,"District Office, Alissery Road",618,RIRuO,NA,120,5,5,5,5,5,0,0,Low
Kerala,Alappuzha,"DC Mills, Pathirappally",617,RIRuO,NA,120,5,5,5,5,5,0,0,Low
Kerala,Kochi,"Eloor I, FACT, Ambalamughal",149,RIRuO,NA,120,5,8,5,5,6,1,0,Low
Kerala,Kochi,Eloor II,29,RIRuO,NA,120,5,9,5,5,6,1,0,Low
Kerala,Kochi,Irumpanam,30,RIRuO,NA,116,5,40,10,5,21,8,0,Low
Kerala,Kochi,Ernakulum South,338,RIRuO,NA,119,5,32,15,5,25,7,0,Low
Kerala,Kochi,VYTTILA,562,RIRuO,NA,115,5,35,12,5,18,6,0,Low
Kerala,Kochi,MG Road Bank Ernakulum,147,RIRuO,NA,118,5,33,15,6,22,6,0,Low
Kerala,Kochi,KALAMASSERY / CSIR Complex,346,RIRuO,NA,119,5,27,11,5,20,6,0,Low
Kerala,Kollam,"KSPCB, District Office, Kadappakada",621,RIRuO,NA,120,10,33,20,26,26,6,0,Low
Kerala,Kollam,KMML Chavara,620,RIRuO,NA,120,11,55,19,12,26,6,0,Low
Kerala,Kottayam,Kottayam,187,RIRuO,NA,120,11,30,17,12,22,4,0,Low
Kerala,Kottayam,Vadavathoor,361,RIRuO,NA,120,11,22,15,12,18,3,0,Low
Kerala,Kozhikode,Kozhikode City,360,RIRuO,NA,120,5,21,8,5,12,3,0,Low
Kerala,Kozhikode,Nallalam,359,RIRuO,NA,120,5,19,8,6,11,2,0,Low
Kerala,Malapuram,"Kakkanchery, Sijmak oils",623,RIRuO,NA,117,5,8,5,5,5,1,0,Low
Kerala,Palakkad,SEPR Refractories India Ltd.,311,RIRuO,NA,113,5,23,7,5,12,4,0,Low
Kerala,Pathanamthitta,"KSPCB, Makkamkunnu",619,RIRuO,NA,120,10,19,15,12,17,2,0,Low
