State,City,Location,Type,Numbers of  monitoring days (n),Nitrogen Dioxide(NO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Punjab,Ludhiana,Bharat Nagar Chowk,Rsidential and other,31,39,5,0,NA
Punjab,Ludhiana,PPCB Office Bldg.,Rsidential and other,124,38,7,0,Moderate
Punjab,Naya Nangal,NFL Guest House,Rsidential and other,129,20,2,0,Low
Punjab,Naya Nangal,Punjab Alkalies,Rsidential and other,109,20,4,0,Low
Rajasthan,Alwar,Gaurav Solvex Ltd.,Industrial,99,23,5,0,Moderate
Rajasthan,Alwar,RIICO Pump House,Industrial,100,23,6,0,Moderate
Rajasthan,Alwar,Regional Office,Rsidential and other,106,23,6,0,Moderate
Rajasthan,Jaipur,MIA,Industrial,105,35,4,0,Moderate
Rajasthan,Jaipur,VKIA,Industrial,107,42,5,0,High
Rajasthan,Jaipur,Ajmeri Gate,Rsidential and other,105,38,4,0,Moderate
Rajasthan,Jaipur,Chandpole,Rsidential and other,103,40,10,1,Moderate
Rajasthan,Jaipur,RSPCB Office,Rsidential and other,106,26,5,0,Moderate
Rajasthan,Jaipur,Vidyadhar Nagar,Rsidential and other,103,36,5,0,Moderate
Rajasthan,Jodhpur,Basni Indl. Area,Industrial,87,24,4,0,Moderate
Rajasthan,Jodhpur,DIC,Industrial,99,24,6,0,Moderate
Rajasthan,Jodhpur,Housing Board,Rsidential and other,83,21,3,0,Moderate
Rajasthan,Jodhpur,M M Police Thane,Rsidential and other,102,21,4,0,Moderate
Rajasthan,Jodhpur,Shashtri Nagar,Rsidential and other,84,24,1,0,Moderate
Rajasthan,Jodhpur,Sojati Gate,Rsidential and other,83,24,1,0,Moderate
Rajasthan,Kota,Regional Office,Industrial,104,27,13,0,Moderate
Rajasthan,Kota,Municipal C. Bldg,Rsidential and other,103,25,12,0,Moderate
Rajasthan,Kota,Samcore Glass,Rsidential and other,105,21,8,0,Moderate
Rajasthan,Udaipur,"Regional Office, MIA",Industrial,101,28,12,0,Moderate
Rajasthan,Udaipur,Ambamata,Rsidential and other,97,22,12,0,Moderate
Rajasthan,Udaipur,Town Hall,Rsidential and other,102,30,9,0,Moderate
Tamilnadu,Chennai,Govt. High School,Industrial,94,20,4,0,Low
Tamilnadu,Chennai,Kathivakkam,Industrial,93,19,5,0,Low
Tamilnadu,Chennai,M C Thiruvottiyur,Industrial,94,13,13,0,Low
Tamilnadu,Chennai,Thiruvottiyur,Industrial,93,22,4,0,Moderate
Tamilnadu,Chennai,Madras Med. College,Rsidential and other,90,15,13,0,Low
Tamilnadu,Chennai,NEERI CSIR Campus,Rsidential and other,96,12,8,0,Low
Tamilnadu,Coimbatore,SIDCO Office,Industrial,82,30,12,0,Moderate
Tamilnadu,Coimbatore,Dist. Coll. Office,Rsidential and other,90,26,10,0,Moderate
Tamilnadu,Coimbatore,Ponniyarajapuram,Rsidential and other,74,27,12,0,Moderate
Tamilnadu,Madurai,Fenners (I) Ltd.,Industrial,98,26,5,0,Moderate
Tamilnadu,Madurai,Highway Bldg.,Rsidential and other,97,25,3,0,Moderate
Tamilnadu,Madurai,Kunnathur Chatram,Rsidential and other,93,25,2,0,Moderate
Tamilnadu,Salem,Sowdeswari College,Rsidential and other,129,24,4,0,Moderate
Tamilnadu,Thoothukudi,Raja Agencies,Industrial,88,14,6,0,Low
Tamilnadu,Thoothukudi,AVM Jewellery Bldg.,Rsidential and other,95,14,5,0,Low
Tamilnadu,Thoothukudi,Fisheries College,Rsidential and other,94,13,5,0,Low
Uttar Pradesh,Agra,Nunhai,Sensitive,90,11,2,0,Low
Uttar Pradesh,Agra,Regional Office,Sensitive,95,10,2,0,Low
