State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Particulate Matter Having Aerodynamic Diameter Less Than or Equal to 10 µm(PM10) -Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Gujarat,Ahmedabad,"Naroda, G.I.D.C.,",347,RIRuO,104,54,134,87,65,88,111,18,22,High
Gujarat,Anklesvar,Rallis India Ltd.,252,RIRuO,104,49,110,83,67,82,99,13,10,High
Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",253,RIRuO,104,46,86,71,57,72,82,9,0,High
Gujarat,Jamnagar,Fisheries Office,319,RIRuO,104,85,142,104,94,105,112,8,70,Critical
Gujarat,Rajkot,Sardhara Industrial Corporation,257,RIRuO,104,33,179,115,84,117,142,26,68,Critical
Gujarat,Rajkot,Regional Offce,374,RIRuO,104,46,166,76,54,76,94,19,7,High
Gujarat,Surat,S.V.R. Engg. College,21,RIRuO,104,38,86,70,56,71,81,10,0,High
Gujarat,Surat,"B.R.C. High School, Udhna",22,RIRuO,114,59,105,83,71,82,94,9,2,High
Gujarat,Surat,Air India Office,23,RIRuO,104,55,92,75,65,75,86,8,0,High
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",50,RIRuO,96,31,91,51,39,52,50,9,0,Moderate
Gujarat,Vadodara,Dandia Bazaar,333,RIRuO,96,58,181,93,75,93,111,17,30,Critical
Gujarat,Vadodara,CETP Nandesari,334,RIRuO,96,105,168,135,127,134,156,14,100,Critical
Gujarat,Vapi,"GEB, IIIrd Phase, GIDC, Vapi",367,RIRuO,104,62,105,86,72,86,98,10,7,High
Gujarat,Vapi,"Vapi Nagar Palika, Vapi",221,RIRuO,104,54,94,74,61,75,85,9,0,High
Haryana,Faridabad,Escorts Research Centre Mathura Road,331,RIRuO,145,109,193,154,124,157,181,21,100,Critical
Haryana,Faridabad,RO Haryana SPCB,330,RIRuO,96,143,219,174,154,172,195,17,100,Critical
Haryana,Hissar,Urban Estate - II,390,RIRuO,27,61,226,93,66,74,143,38,30,Null
Haryana,Hissar,Guru Jambehswar University,414,RIRuO,52,52,1082,96,59,73,100,140,10,Critical
Haryana,Yamunanagar,Ballarpur Industries,196,RIRuO,52,64,523,261,121,259,400,116,92,Critical
Himachal Pradesh,Baddi,Industry Department Office Building,449,RIRuO,96,30,361,112,54,111,159,52,59,Critical
Himachal Pradesh,Baddi,AHC barotiwala,564,RIRuO,85,35,241,103,52,96,154,43,44,Critical
Himachal Pradesh,Baddi,Housing Board,563,RIRuO,11,56,156,100,59,101,143,31,82,Null
Himachal Pradesh,Damtal,Regional Office,268,RIRuO,150,21,165,61,37,58,86,21,3,High
Himachal Pradesh,Damtal,Old Road,271,RIRuO,114,29,135,75,47,74,102,22,38,High
Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,461,RIRuO,156,441,230,55,141,225,319,73,98,Moderate
Himachal Pradesh,Kala Amb,Trilokpur,530,RIRuO,157,24,236,102,61,96,148,36,46,Critical
Himachal Pradesh,Nalagarh,Municipal Council,565,RIRuO,66,30,221,86,40,76,148,43,32,High
Himachal Pradesh,Parwanoo,"Regional Office, Sector- 4",132,RIRuO,153,17,292,70,37,66,102,34,10,High
Himachal Pradesh,Parwanoo,"Asst. Commissioner Building, Sector I",339,RIRuO,136,15,218,98,48,93,154,41,41,Critical
Himachal Pradesh,Paonta Sahib,Paonta Sahib,117,RIRuO,140,28,192,108,69,105,145,31,59,Critical
Himachal Pradesh,Paonta Sahib,Gondhpur Industrial Area,118,RIRuO,110,56,363,162,99,153,246,60,89,Critical
Himachal Pradesh,Shimla,Tekka Bench Ridge,34,ES (Hillstation),140,10,154,55,24,52,92,28,17,Moderate
Himachal Pradesh,Shimla,"Bus Stand, Winterfield",35,ES (Hillstation),122,19,172,60,34,55,93,26,7,Moderate
Jammu and Kashmir,Jammu,"Regional Office, Jammu",184,RIRuO,88,49,171,107,68,106,147,51,57,Critical
Jammu and Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",482,RIRuO,85,48,188,102,71,97,145,30,46,Critical
Jammu and Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",507,RIRuO,49,56,226,136,83,129,205,136,82,Null
Jharkhand,Dhanbad,"EMTI, Bastacola",612,RIRuO,72,95,365,214,167,208,259,50,99,Critical
Jharkhand,Dhanbad,"CGM Office, Kusunda",611,RIRuO,81,125,337,211,153,211,272,47,100,Critical
