State ,City,Location,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,RIRuO,NA,72,20,47,39,35,43,4,0,Moderate
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",RIRuO,NA,69,70,78,74,72,77,2,0,High
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab. IICT Campus",RIRuO,NA,94,3,170,60,15,129,43,18,Moderate
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",RIRuO,NA,94,16,171,61,24,107,34,14,High
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office,RIRuO,NA,95,14,277,83,29,145,49,27,High
Andhra Pradesh,Hydrabad,Balanagar,RIRuO,NA,110,34,267,111,46,171,47,58,Critical
Andhra Pradesh,Hydrabad,"Uppal, Modern Foods & Industries IDA",RIRuO,NA,107,33,234,104,56,163,42,48,Critical
Andhra Pradesh,Hydrabad,Jublee Hills,RIRuO,NA,108,28,166,84,42,127,33,28,High
Andhra Pradesh,Hydrabad,Paradise,RIRuO,NA,114,51,159,101,71,130,24,52,Critical
Andhra Pradesh,Hydrabad,Charminar,RIRuO,NA,117,39,180,104,56,149,35,57,Critical
Andhra Pradesh,Hydrabad,Zoo Park,RIRuO,NA,116,15,152,70,32,109,32,19,High
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,RIRuO,NA,44,51,75,59,55,64,4,0,Null
Andhra Pradesh,Kothagudem,"CER Club, Khamam",RIRuO,NA,71,28,188,81,64,99,20,8,High
Andhra Pradesh,Kurnool,Mourya Inn,RIRuO,NA,90,28,188,82,63,63,24,11,High
Andhra Pradesh,Nalgonda,AP PCB Nalgonda,RIRuO,NA,108,31,109,75,58,90,14,3,High
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",RIRuO,NA,60,55,69,63,59,66,3,0,High
Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",RIRuO,NA,108,35,154,76,50,117,27,20,High
Andhra Pradesh,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",RIRuO,NA,91,6,264,65,19,117,44,18,High
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",RIRuO,NA,90,9,91,37,28,51,12,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,RIRuO,NA,73,65,120,88,75,112,13,18,High
Andhra Pradesh,Vijaywada,Autonagar,RIRuO,NA,70,58,145,91,76,118,17,24,Critical
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",RIRuO,NA,91,10,229,61,24,103,34,15,High
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",RIRuO,NA,87,21,124,66,32,102,27,13,High
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",RIRuO,NA,82,14,228,70,35,118,36,16,High
Andhra Pradesh,Vishakhapatnam,Police Barracks,RIRuO,NA,79,45,288,136,72,216,55,73,Critical
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area",RIRuO,NA,77,24,173,69,34,106,32,12,High
Andhra Pradesh,Vishakhapatnam,Seethammadhara,RIRuO,NA,80,27,150,70,39,105,26,14,High
Andhra Pradesh,Vishakhapatnam,Ganapuram Area,RIRuO,NA,80,34,308,114,65,175,50,53,Critical
Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",RIRuO,NA,69,20,157,66,37,104,29,13,High
Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",RIRuO,NA,71,15,178,47,22,76,25,1,Moderate
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",RIRuO,NA,103,31,72,54,42,67,9,0,Moderate
Assam,Bongaigaon,Barpara Office Building,RIRuO,NA,104,30,67,51,43,61,8,0,Moderate
Assam,Bongaigaon,B.R.P.L. Expert Hostel,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Assam,Daranga,"BATAD,  Baska",RIRuO,NA,77,18,176,56,25,91,32,9,Moderate
Assam,Dibrugarh,Dibrugarh Office Building,RIRuO,NA,98,12,127,42,22,64,21,3,Moderate
Assam,Golaghat,Golaghat Office Building,ES,Numaligarh,89,16,160,63,24,120,37,18,High
Assam,Guwahati,"Head Office, Bamunimaidam",RIRuO,NA,251,21,337,95,35,181,59,38,Critical
Assam,Guwahati,"Boragaon, IASST, Kamrup",RIRuO,NA,99,14,264,82,29,160,55,31,High
Assam,Guwahati,"Guwahati University, Kamrup",RIRuO,NA,208,13,204,70,24,132,41,23,High
Assam,Guwahati,"ITI Building, Gopinath Nagar",RIRuO,NA,246,21,475,103,38,198,66,41,Critical
Assam,Guwahati,"Khanapara, Central Dairy, Kamrup",RIRuO,NA,249,21,433,110,43,204,68,45,Critical
Assam,Guwahati,"Near Pragjyotish College, Santipur",RIRuO,NA,250,17,267,97,36,192,61,37,Critical
Assam,Margherita,Coal India Office,RIRuO,NA,100,13,176,53,21,95,31,8,Moderate
Assam,Lakhimpur,"Bazar Patti, North Lakhimpur Town",RIRuO,NA,103,23,154,64,30,109,31,16,High
Assam,Nagaon,"Water Resources Div., Christian Patty",RIRuO,NA,98,16,223,86,35,162,51,47,High
Assam,Nalbari,PWD Rural Div Office Complex,RIRuO,NA,92,18,306,95,35,169,60,35,Critical
Assam,Sibsagar,Sibasagar Office Building,RIRuO,NA,101,24,291,99,38,186,65,39,Critical
Assam,Sibsagar,"Usha Lodge, near ONGCL Colony",RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Assam,Silchar,Janiganj Govt. Boys HS School campus,RIRuO,NA,97,20,196,84,35,158,48,29,High
Assam,Silchar,"RLO, Ithkola Market, Ghaniwala Road",RIRuO,NA,95,18,176,71,33,119,36,23,High
Assam,Tezpur,Tezpur Office Building,RIRuO,NA,105,13,193,60,27,118,36,16,Moderate
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",RIRuO,NA,101,18,190,55,28,96,33,21,Moderate
Assam,Tinsukia,"Shreepuria, Borguri",RIRuO,NA,100,14,243,57,25,115,42,14,Moderate
Bihar,Patna,"Beltron Bhawan, Shastri Nagar",RIRuO,NA,85,11,538,135,44,240,93,55,Critical
Bihar,Patna,Gandhi Maidan Test Centre,RIRuO,NA,84,53,641,213,84,365,115,87,Critical
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",RIRuO,NA,138,27,526,137,67,217,72,67,Critical
Chandigarh,Chandigarh,Sector-17 C,RIRuO,NA,141,19,283,87,42,138,43,28,High
Chandigarh,Chandigarh,"Punjab Engineering College, Sector- 12",RIRuO,NA,140,18,248,91,44,148,44,35,Critical
Chandigarh,Chandigarh,"Sector-39, IMTECH",RIRuO,NA,141,20,258,90,42,143,46,36,High
Chandigarh,Chandigarh,Kaimbwala Village,RIRuO,NA,132,37,322,104,49,159,47,48,Critical
Chattisgarh,Bhillai,"Visak Hostel, Sector-4",RIRuO,NA,94,76,104,88,80,95,6,1,High
Chattisgarh,Bhillai,"R.O., 5/32 Banglow Office Building",RIRuO,NA,96,61,86,74,67,82,6,0,High
Chattisgarh,Bhillai,M.P. Laghu Udyog Nigam,RIRuO,NA,94,136,177,157,146,167,9,100,Critical
Chattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Chattisgarh,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Chattisgarh,Korba,"Pragati Nagar NTPC Colony, Jamnipali",RIRuO,NA,94,58,111,88,65,106,16,35,High
Chattisgarh,Korba,"I.T.I., Rampur",RIRuO,NA,94,40,128,100,82,116,16,54,Critical
Chattisgarh,Raipur,"New HIG-9, Hirapur",RIRuO,NA,14,199,314,266,230,306,33,100,Null
Chattisgarh,Raipur,"M/S Wool Worth India, Sarora",RIRuO,NA,50,277,477,379,333,426,40,100,Critical
Chattisgarh,Raipur,"Yatayat Thana, Jai Stambh Chowk",RIRuO,NA,36,212,268,233,219,259,16,100,Null
Dadra & Nagar Haveli,Silvassa,"Khadoli Industrial Area, Khadoli",RIRuO,NA,7,23,24,24,24,24,0,0,Null
Dadra & Nagar Haveli,Silvassa,"Chetan Guest House, Near Post Office",RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Daman & Diu,Daman,"Kadaiya Industrial Area, Kadaiya",RIRuO,NA,10,24,24,24,24,24,0,0,Null
Daman & Diu,Daman,"110/2, First Floor, Air Port Road, Kadaiya",RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Delhi,Delhi,"N.Y. School, Sarojini Nagar, Delhi",RIRuO,NA,96,27,644,168,51,327,122,61,Critical
Delhi,Delhi,"Town Hall, Chandni Chowk",RIRuO,NA,96,49,692,268,79,444,150,84,Critical
Delhi,Delhi,"Mayapuri Industrial Area, Delhi",RIRuO,NA,96,50,600,225,80,451,134,84,Critical
Delhi,Delhi,Pritampura,RIRuO,NA,75,47,502,217,110,338,101,93,Critical
Delhi,Delhi,Shahadra,RIRuO,NA,76,51,486,244,108,396,109,91,Critical
Delhi,Delhi,Shahzada Bagh,RIRuO,NA,71,71,529,258,122,411,117,92,Critical
Delhi,Delhi,Nizamuddin,RIRuO,NA,72,54,556,192,80,307,99,83,Critical
Delhi,Delhi,Janakpuri,RIRuO,NA,72,66,496,216,92,340,108,86,Critical
Delhi,Delhi,Siri Fort,RIRuO,NA,71,41,472,214,87,353,105,80,Critical
Delhi,Delhi,"ITO, BSZ Marg",RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Goa,Panaji,"Old GSPCB premises, Patto",RIRuO,NA,93,19,193,87,36,153,44,35,High
Goa,Marmagao,"Fire Brigade Station, Port Trust",RIRuO,NA,92,19,156,72,39,110,30,16,High
Goa,Vasco,"Fuse Call Office, Mormugao",RIRuO,NA,78,23,119,57,32,88,24,6,Moderate
Goa,Curchorem,"Curchorem, Sanvordem, Quepem",RIRuO,NA,103,23,239,87,37,138,49,32,High
Goa,Codli,"Codli Tisk, Ponda",RIRuO,NA,121,15,161,76,35,129,36,23,High
Goa,Honda,"Honda Junction, Sattari",ES,Sahyadri,70,33,495,184,60,324,111,77,Critical
Goa,Bicholim,Bicholim Taluk,RIRuO,NA,94,35,266,111,45,183,57,47,Critical
Goa,Amona,"Amona, Bicholim",RIRuO,NA,93,27,145,79,40,113,30,20,High
Goa,Assanora,"Assanora Junction, Bardez Taluka",RIRuO,NA,96,27,137,78,39,118,28,24,High
Goa,Usgao,"Usgao Plae, Junction, Ponda",RIRuO,NA,100,15,425,125,75,257,84,41,Critical
Goa,Margao,Margao Town,RIRuO,NA,5,84,95,90,86,94,4,0,Null
Goa,Tilamol,Tilamol,RIRuO,NA,20,92,217,150,96,191,39,85,Null
Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",RIRuO,NA,103,47,142,108,86,128,19,73,Critical
Gujarat,Ahmedabad,Cadilla Bridge Narol,RIRuO,NA,104,46,129,84,65,102,16,12,High
Gujarat,Ahmedabad,L.D. Engg. College,RIRuO,NA,103,37,111,62,44,75,12,1,High
Gujarat,Ahmedabad,"Shardaben Hospital, Saraspur",RIRuO,NA,104,37,129,72,53,89,15,2,High
Gujarat,Ahmedabad,"R.C. Technical High School, Mirzapur",RIRuO,NA,104,44,135,74,57,88,14,1,High
Gujarat,Ahmedabad,"Naroda, G.I.D.C.",RIRuO,NA,103,42,138,74,54,92,15,3,High
Gujarat,Anklesvar,Rallis India Ltd.,RIRuO,NA,104,60,126,97,74,118,16,42,Critical
Gujarat,Anklesvar,"Durga Traders, Bhavanafarm Society",RIRuO,NA,104,55,112,85,69,103,14,15,High
Gujarat,Jamnagar,Fisheries Office,RIRuO,NA,104,86,206,104,94,110,14,65,Critical
Gujarat,Rajkot,Nr. Sardhara Industrial Corporation,RIRuO,NA,104,46,183,122,100,151,22,90,Critical
Gujarat,Rajkot,GPCB Regional Offce,RIRuO,NA,104,46,149,74,58,92,17,6,High
Gujarat,Surat,S.V.R. Engg. College,RIRuO,NA,104,56,112,86,66,102,14,17,High
Gujarat,Surat,"B.R.C. High School, Udhna",RIRuO,NA,104,56,133,104,84,124,17,66,Critical
Gujarat,Surat,Near Air India Office,RIRuO,NA,104,56,121,93,73,110,14,38,Critical
Gujarat,Vadodara,"GPCB Office, Geri Vasahat",RIRuO,NA,94,24,227,52,37,62,21,1,Moderate
Gujarat,Vadodara,Dandia Bazaar,RIRuO,NA,94,28,123,85,55,107,20,22,High
Gujarat,Vadodara,CETP Nandesari,RIRuO,NA,93,86,170,127,107,153,19,92,Critical
Gujarat,Vadodara,Subhanpura,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Gujarat,Vapi,"GEB, IIIrd Phase, GIDC",RIRuO,NA,104,56,123,93,66,116,19,45,Critical
Gujarat,Vapi,"Vapi Nagar Palika, Vapi",RIRuO,NA,104,46,114,84,58,105,18,20,High
Haryana,Faridabad,Escorts Research Centre Mathura Road,RIRuO,NA,98,75,241,195,147,229,37,95,Critical
Haryana,Faridabad,Haryana SPCB Sector-16A,RIRuO,NA,133,55,222,159,130,191,31,93,Critical
Haryana,Hissar,Urban Estate - II,RIRuO,NA,60,20,413,135,42,243,91,55,Critical
Haryana,Hissar,Guru Jambehswar University,RIRuO,NA,102,42,183,68,51,87,19,3,High
Haryana,Yamunanagar,Ballarpur Industries,RIRuO,NA,46,50,363,172,75,259,72,80,Null
Himachal Pradesh,Baddi,Industry Department Office Building,RIRuO,NA,146,36,169,94,54,Null,29,40,Critical
Himachal Pradesh,Baddi,AHC barotiwala,RIRuO,NA,145,37,176,94,52,132,30,45,Critical
Himachal Pradesh,Baddi,Housing Board,RIRuO,NA,129,29,468,105,61,150,48,50,Critical
Himachal Pradesh,Damtal,Regional Office,RIRuO,NA,146,11,131,55,29,86,23,5,Moderate
Himachal Pradesh,Damtal,Old Road,RIRuO,NA,131,33,214,79,48,118,29,18,High
Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,RIRuO,NA,166,80,530,245,167,343,77,98,Critical
Himachal Pradesh,Kala Amb,Kala Amb Town/Trilokpur,RIRuO,NA,170,35,265,94,57,135,38,34,Critical
Himachal Pradesh,Nalagarh,Municipal Council,RIRuO,NA,142,23,175,89,43,133,33,33,High
Himachal Pradesh,Parwanoo,"Regional Office, Sector- 4",RIRuO,NA,152,20,337,66,34,100,33,10,High
