State,City,Location,Station code,Type,Category of ES,No. of mon. days (n),Min,Max,NO2 Annual average (µg/m3),10 percentile,90 percentile,Std. Dev.,Percentage- exceedence(24 hourly),Air Quality
Kerala,Kochi,KALAMASSERY / CSIR Complex,346,RIRuO,NA,107,5,26,15,10,21,5,0,Low
Kerala,Kollam,"KSPCB, District Office, Kadappakada",621,RIRuO,NA,114,10,43,23,17,31,6,0,Moderate
Kerala,Kollam,KMML Chavara,620,RIRuO,NA,110,11,32,17,11,23,5,0,Low
Kerala,Kottayam,Kottayam,187,RIRuO,NA,116,5,24,21,18,22,3,0,Moderate
Kerala,Kottayam,Vadavathoor,361,RIRuO,NA,116,8,14,12,11,13,1,0,Low
Kerala,Kozhikode,Kozhikode City,360,RIRuO,NA,116,2,22,8,5,13,3,0,Low
Kerala,Kozhikode,Nallalam,359,RIRuO,NA,108,5,15,7,5,10,2,0,Low
Kerala,Malapuram,"Kakkanchery, Sijmak oils",623,RIRuO,NA,97,5,10,5,5,7,1,0,Low
Kerala,Palakkad,SEPR Refractories India Ltd.,311,RIRuO,NA,119,5,17,9,5,15,4,0,Low
Kerala,Pathanamthitta,"KSPCB, Makkamkunnu",619,RIRuO,NA,119,5,27,13,8,18,4,0,Low
Kerala,Thissur,"KSPCB, District Office, Poonkunnam",624,RIRuO,NA,110,5,28,14,5,22,7,0,Low
Kerala,Wayanad,Sulthan Bathery,622,RIRuO,NA,119,5,25,12,6,18,5,0,Low
Kerala,Thiruvananthapuram,PRS Hospital/COSMO,419,RIRuO,NA,104,15,33,22,18,29,5,0,Moderate
Kerala,Thiruvananthapuram,SMV School,181,RIRuO,NA,104,22,52,28,25,30,3,0,Moderate
Kerala,Thiruvananthapuram,VELI / HiTech Chackai,357,RIRuO,NA,104,15,37,18,16,20,2,0,Low
Kerala,Thiruvananthapuram,PETTAH / Sasthamangalam,358,RIRuO,NA,104,20,30,25,22,27,2,0,Moderate
Madhya Pradesh,Bhopal,"Hamidia Road, MP Hastshilp Vikas Nigam",122,RIRuO,NA,57,7,31,16,8,25,6,0,Low
Madhya Pradesh,Bhopal,C E T P Govindpura,123,RIRuO,NA,58,5,57,23,10,43,14,0,Moderate
Madhya Pradesh,Bhopal,"Nutan Subhash School, T.T. Nagar",247,RIRuO,NA,57,5,46,11,5,28,10,0,Low
Madhya Pradesh,Bhopal,Arera Colony,36,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Madhya Pradesh,Dewas,EID Perry (I) Limited,525,RIRuO,NA,45,17,39,28,21,37,7,0,Null
Madhya Pradesh,Dewas,Dewas Metal Section,524,RIRuO,NA,94,15,40,27,18,35,7,7,Moderate
Madhya Pradesh,Dewas,Vikas Nagar,523,RIRuO,NA,93,13,36,24,17,33,6,0,Moderate
Madhya Pradesh,Gwalior,Dindayal Nagar,479,RIRuO,NA,71,14,32,19,15,23,4,0,Low
Madhya Pradesh,Gwalior,Maharaj Bada,478,RIRuO,NA,62,13,29,21,18,25,3,0,Moderate
Madhya Pradesh,Indore,"M.P. Laghu Udyog, Pologround",127,RIRuO,NA,66,10,31,15,12,20,4,0,Low
Madhya Pradesh,Indore,"Kothari Market, M.G. Road",128,RIRuO,NA,73,8,21,14,11,17,3,0,Low
Madhya Pradesh,Indore,"Telephone Nagar, 26 A, Kanadia Road",131,RIRuO,NA,66,6,28,13,10,15,3,0,Low
Madhya Pradesh,Jabalpur,Vijay Nagar,248,RIRuO,NA,91,19,54,25,22,27,4,0,Moderate
Madhya Pradesh,Nagda,Chem. D. Labour Club,82,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Madhya Pradesh,Nagda,B C I Labour Club,84,RIRuO,NA,59,14,71,25,21,30,7,0,Moderate
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,246,RIRuO,NA,62,15,42,26,21,31,5,0,Moderate
Madhya Pradesh,Sagar,Pt.Deendayal Nagar,532,RIRuO,NA,76,8,22,15,11,20,4,0,Low
Madhya Pradesh,Sagar,"Katra Bazar, Sagar",533,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Madhya Pradesh,Satna,Sub-divisional Office E/M Light Machniery,343,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Madhya Pradesh,Satna,"MPPCB,Dharwari GaliNo.5,House No.318",342,RIRuO,NA,20,5,8,6,5,7,1,0,Null
Madhya Pradesh,Singrauli,Jayant Township,515,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Madhya Pradesh,Singrauli,"N.T.P.C., Vidyanagar",514,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Madhya Pradesh,Singrauli,Waidhan,516,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Madhya Pradesh,Ujjain,District Office,527,RIRuO,NA,72,9,25,17,14,21,3,0,Low
Madhya Pradesh,Ujjain,Regional Office,526,RIRuO,NA,76,8,23,9,8,10,2,0,Low
Madhya Pradesh,Ujjain,Mahakal Temple,528,RIRuO,NA,2,12,23,17,13,22,8,0,Null
Maharashtra,Dombivali/Ambernath,Dombivali MIDC Phase-II,265,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Maharashtra,Dombivali/Ambernath,Ambernath Municipal Council Office,445,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
