State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Sulfur Dioxide(SO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Haryana,Faridabad,Escorts Research Centre Mathura Road,331,RIRuO,145,7,32,17,12,16,23,4,0,Low
Haryana,Faridabad,RO Haryana SPCB,330,RIRuO,96,10,29,18,14,17,26,5,0,Low
Haryana,Hissar,Urban Estate - II,390,RIRuO,27,5,11,8,7,8,9,1,0,Null
Haryana,Hissar,Guru Jambehswar University,414,RIRuO,52,2,18,7,2,6,16,4,0,Low
Haryana,Yamunanagar,Ballarpur Industries,196,RIRuO,52,7,19,12,9,12,16,3,0,Low
Himachal Pradesh,Baddi,Industry Department Office Building,449,RIRuO,93,0,7,3,2,3,5,1,0,Low
Himachal Pradesh,Baddi,AHC barotiwala,564,RIRuO,77,1,9,3,2,3,5,1,0,Low
Himachal Pradesh,Baddi,Housing Board,563,RIRuO,10,2,2,2,2,2,2,Null,0,Null
Himachal Pradesh,Damtal,Regional Office,268,RIRuO,147,2,2,2,2,2,2,Null,0,Low
Himachal Pradesh,Damtal,Old Road,271,RIRuO,113,2,2,2,2,2,2,Null,0,Low
Himachal Pradesh,Kala Amb,Kala Amb Industrial Area,461,RIRuO,156,2,10,4,2,4,6,2,0,Low
Himachal Pradesh,Kala Amb,Trilokpur,530,RIRuO,155,2,5,2,2,2,3,Null,0,Low
Himachal Pradesh,Nalagarh,Municipal Council,565,RIRuO,66,1,8,3,2,3,4,1,0,Low
Himachal Pradesh,Parwanoo,"Regional Office, Sector- 4",132,RIRuO,147,2,5,3,2,2,3,1,0,Low
Himachal Pradesh,Parwanoo,"Asst. Commissioner Building, Sector I",339,RIRuO,134,2,6,3,2,3,4,1,0,Low
Himachal Pradesh,Paonta Sahib,Paonta Sahib,117,RIRuO,136,2,4,2,2,2,3,Null,0,Low
Himachal Pradesh,Paonta Sahib,Gondhpur Industrial Area,118,RIRuO,107,2,5,3,2,3,4,1,0,Low
Himachal Pradesh,Shimla,Tekka Bench Ridge,34,ES (Hill station),140,2,6,3,2,2,4,1,0,Low
Himachal Pradesh,Shimla,"Bus Stand, Winterfield",35,ES (Hill station),114,2,8,4,2,3,6,1,0,Low
Jammu and Kashmir,Jammu,"Regional Office, Jammu",184,RIRuO,88,2,9,5,3,4,7,2,0,Low
Jammu and Kashmir,Jammu,"M.A. Stadium, Jewel Chowk, Jammu",482,RIRuO,89,2,15,6,4,6,9,2,0,Low
Jammu and Kashmir,Jammu,"Bari Brahamana Industrial Area, Jammu",507,RIRuO,49,3,19,10,6,9,16,4,0,Null
Jharkhand,Dhanbad,"EMTI, Bastacola",612,RIRuO,67,12,36,16,13,15,18,3,0,Low
Jharkhand,Dhanbad,"CGM Office, Kusunda",611,RIRuO,77,12,36,16,13,14,20,4,0,Low
Jharkhand,Dhanbad,R.O. Dhanbad,44,RIRuO,75,10,31,14,11,13,18,4,0,Low
Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,351,RIRuO,89,30,41,36,33,36,38,Null,0,Moderate
Jharkhand,Jamshedpur,Golmuri Vehicle Testing Centre,382,RIRuO,91,23,42,35,33,35,38,3,0,Moderate
Jharkhand,Jharia,M.A.D.A.,332,RIRuO,68,13,36,17,14,17,20,3,0,Low
Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",402,RIRuO,111,16,31,19,17,19,23,3,0,Low
Jharkhand,Saraikela Khar- sawan,"RO Building, Adityapur",614,RIRuO,86,28,41,35,31,35,39,3,0,Moderate
Jharkhand,Sindri,BIT / PDIL,46,RIRuO,33,11,24,16,12,15,21,3,0,Null
Jharkhand,West Singhbhum,Barajamda U.M. Office,615,RIRuO,84,15,36,21,18,20,24,3,0,Low
Karnataka,Bangalore,Graphite India,77,RIRuO,59,10,20,15,12,16,18,2,0,Low
Karnataka,Bangalore,Yeshwanthpura police station,457,RIRuO,100,9,20,16,13,17,19,2,0,Low
Karnataka,Bangalore,Peenya Industrial Area,405,RIRuO,99,6,40,16,13,15,17,4,0,Low
Karnataka,Bangalore,"KHB Industrial Area, Yelahanka",404,RIRuO,107,9,18,14,12,15,16,2,0,Low
Karnataka,Bangalore,"AMCO Batteries, Mysore Road",78,RIRuO,100,7,19,14,12,14,15,2,0,Low
Karnataka,Bangalore,"Jnanabharathi , Bangalore University",598,RIRuO,104,2,24,6,2,5,7,5,0,Low
Karnataka,Bangalore,R V College of Engineering,589,RIRuO,22,2,14,7,4,6,10,2,0,Null
Karnataka,Bangalore,"TERI office, Vital Medi healthcare Pvt.Ltd",,RIRuO,15,26,32,28,26,28,31,2,0,Null
Karnataka,Bangalore,Victoria hospital,406,RIRuO,29,6,14,11,7,12,13,2,0,Null
Karnataka,Belgaum,Karnataka SPCB Office Building,460,ES (Sahyadri),83,2,2,2,2,2,2,Null,0,Low
Karnataka,Gulburga,Government Hospital,459,RIRuO,77,2,523,9,2,2,3,59,1,Low
Karnataka,Hassan,KSRTC bus stand building,458,RIRuO,84,4,6,5,4,5,6,1,0,Low
Karnataka,Hubli-Dharwad,"Lakamanahali Industrial Area, Dharwad",432,RIRuO,69,2,13,4,2,2,9,3,0,Low
Karnataka,Hubli-Dharwad,"Rani Chennamma Circle, Hubli",431,RIRuO,95,2,13,5,2,5,9,3,0,Low
Karnataka,Mangalore,"Stides Premises, Baikampady IndustrialArea",488,RIRuO,105,2,17,6,3,5,9,3,0,Low
Karnataka,Mysore,K.R.Circle,40,RIRuO,94,7,15,11,8,11,14,2,0,Low
Karnataka,Mysore,KSPCB Bldg. Hebbal Ind. Area,328,RIRuO,117,6,14,10,7,10,12,2,0,Low
Kerala,Alappuzha,"District Office, Alissery Road",618,RIRuO,120,2,2,2,2,2,2,Null,0,Low
Kerala,Alappuzha,"DC Mills, Pathirappally",617,RIRuO,120,2,2,2,2,2,2,Null,0,Low
Kerala,Kochi,Eloor I,149,RIRuO,90,2,3,2,2,2,2,Null,0,Low
Kerala,Kochi,Eloor II,29,RIRuO,91,2,3,2,2,2,2,Null,0,Low
Kerala,Kochi,Irumpanam,30,RIRuO,109,2,11,4,2,4,7,2,0,Low
Kerala,Kochi,Ernakulum South,338,RIRuO,109,2,36,4,2,3,5,4,0,Low
Kerala,Kochi,VYTTILA,562,RIRuO,108,2,16,4,2,4,8,3,0,Low
Kerala,Kochi,MG Road Bank Ernakulum,147,RIRuO,109,2,15,4,2,3,7,2,0,Low
Kerala,Kochi,Kalamassery,346,RIRuO,108,2,23,6,2,4,9,4,0,Low
