State,City,Location,Type,Numbers of  monitoring days (n),Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation
Pondicherry,Pondicherry,DSTC Office,Residential and other,61,68,15
Punjab,Amritsar,Nagina Soap Factory,Industrial,19,471,49
Punjab,Amritsar,A-1 Platters,Residential and other,20,479,49
Punjab,Bathinda,Bathinda Milk Plant,Industrial,113,203,18
Punjab,Dera Bassi,Bhanakarpur Road,Industrial,132,206,14
Punjab,Dera Bassi,Winsome Yarns Ltd,Industrial,123,206,14
Punjab,Naya Nangal,NFL Guest House,Residential and other,128,209,27
Rajasthan,Alwar,Gaurav Solvex Ltd.,Industrial,100,325,156
Rajasthan,Alwar,RIICO Pump House,Industrial,102,213,86
Rajasthan,Alwar,Regional Office,Residential and other,105,324,143
Rajasthan,Jaipur,MIA,Industrial,105,218,115
Rajasthan,Jaipur,VKIA,Industrial,107,488,180
Rajasthan,Jaipur,Ajmeri Gate,Residential and other,105,295,124
Rajasthan,Jaipur,Chandpole,Residential and other,103,474,135
Rajasthan,Jaipur,RSPCB Office,Residential and other,106,203,98
Rajasthan,Jaipur,Vidyadhar Nagar,Residential and other,103,384,172
Rajasthan,Jodhpur,Basni Indl. Area,Industrial,88,404,93
Rajasthan,Jodhpur,DIC,Industrial,99,337,105
Rajasthan,Jodhpur,Housing Board,Residential and other,83,322,108
Rajasthan,Jodhpur,M M Police Thane,Residential and other,103,408,76
Rajasthan,Jodhpur,Shashtri Nagar,Residential and other,84,363,96
Rajasthan,Jodhpur,Sojati Gate,Residential and other,83,415,92
Rajasthan,Kota,Regional Office,Industrial,104,240,112
Rajasthan,Kota,Municipal C. Bldg,Residential and other,103,176,80
Rajasthan,Kota,Samcore Glass,Residential and other,105,216,95
Rajasthan,Udaipur,"Regional Office, MIA",Industrial,101,240,128
Rajasthan,Udaipur,Ambamata,Residential and other,97,204,130
Rajasthan,Udaipur,Town Hall,Residential and other,102,263,97
Tamilnadu,Chennai,Govt. High School,Industrial,94,180,75
Tamilnadu,Chennai,Kathivakkam,Industrial,94,184,57
Tamilnadu,Chennai,M C Thiruvottiyur,Industrial,94,129,46
Tamilnadu,Chennai,Thiruvottiyur,Industrial,94,226,104
Tamilnadu,Chennai,Madras Med. College,Residential and other,90,111,35
Tamilnadu,Chennai,NEERI CSIR Campus,Residential and other,96,89,39
Tamilnadu,Coimbatore,SIDCO Office,Industrial,88,239,113
Tamilnadu,Coimbatore,Dist. Coll. Office,Residential and other,94,133,74
Tamilnadu,Coimbatore,Ponniyarajapuram,Residential and other,91,97,51
Tamilnadu,Madurai,Fenners (I) Ltd.,Industrial,97,83,19
Tamilnadu,Madurai,Highway Bldg.,Residential and other,97,85,18
Tamilnadu,Madurai,Kunnathur Chatram,Residential and other,94,91,21
Tamilnadu,Salem,Sowdeswari College,Residential and other,132,125,39
Tamilnadu,Thoothukudi,Raja Agencies,Industrial,91,258,126
Tamilnadu,Thoothukudi,AVM Jewellery Bldg.,Residential and other,95,117,63
Tamilnadu,Thoothukudi,Fisheries College,Residential and other,95,167,95
Uttar Pradesh,Agra,Nunhai,Sensitive,95,396,78
Uttar Pradesh,Agra,Regional Office,Sensitive,99,349,85
