State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation
Madhya Pradesh,Dewas,Dewas Metal Section,524,RIRuO,58,278,57,173,58
Madhya Pradesh,Dewas,Vikas Nagar,523,RIRuO,88,455,85,203,71
Madhya Pradesh,Gwalior,Dindayal Nagar,479,RIRuO,75,715,172,474,131
Madhya Pradesh,Gwalior,Maharaj Bada,478,RIRuO,75,713,174,366,116
Madhya Pradesh,Indore,Polo Ground,127,RIRuO,79,59,628,256,103
Madhya Pradesh,Indore,"Kothari Market, M.G. Road",128,RIRuO,87,132,580,278,98
Madhya Pradesh,Indore,"Telephone Nagar, Kanadia Road",131,RIRuO,81,84,408,214,63
Madhya Pradesh,Nagda,B C I Labour Club,84,RIRuO,97,174,81,134,17
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,246,RIRuO,100,186,86,156,19
Madhya Pradesh,Sagar,"Pt.Deendayal Nagar, Housing Board Colony",532,RIRuO,72,481,108,268,100
Madhya Pradesh,Satna,Sub-divisional Office E/M LightMachniery,343,RIRuO,80,622,104,359,109
Madhya Pradesh,Satna,Regional Office MPPCB,342,RIRuO,96,509,106,185,78
Madhya Pradesh,Ujjain,District Office,527,RIRuO,74,376,117,244,58
Madhya Pradesh,Ujjain,Mahakal Temple,528,RIRuO,59,219,83,146,33
Maharashtra,Aurangabad,S.B.E.S. College,511,RIRuO,111,103,478,266,95
Maharashtra,Aurangabad,Collector Ofiice,512,RIRuO,108,60,286,169,46
Maharashtra,Aurangabad,"C.A.D.A. Ofiice, Garkheda",513,RIRuO,103,67,306,170,66
Maharashtra,Badlapur,BIWA Office,649,RIRuO,92,37,299,141,57
Maharashtra,Chandrapur,Grampanchat Ghughus,267,RIRuO,93,66,1733,643,364
Maharashtra,Chandrapur,MIDC Chandrapur,281,RIRuO,96,156,924,428,164
Maharashtra,Chandrapur,Nagar Parishad,396,RIRuO,97,44,1017,233,144
Maharashtra,Chandrapur,"Gadchandur Gram Panchayat, Rajura",640,RIRuO,74,42,1284,329,241
Maharashtra,Chandrapur,"MIDC, Tadali",638,RIRuO,54,89,1617,623,408
Maharashtra,Chandrapur,"Muncipal Council, Ballarshah",639,RIRuO,94,25,1203,385,207
Maharashtra,Jalgaon,B. J. Market,644,RIRuO,69,131,291,191,37
Maharashtra,Jalgaon,Girna water tank,645,RIRuO,68,120,262,195,33
Maharashtra,Jalgaon,MIDC Jalgaon,646,RIRuO,70,133,268,207,37
Maharashtra,Kolhapur,"University Campus, Shivaji University,",508,ES (Sahyadri),101,86,134,113,10
Maharashtra,Kolhapur,"Ruikar Trust, Dabholkar Corner, ST Stand",509,ES (Sahyadri),92,169,436,290,55
Maharashtra,Kolhapur,"Mahadwar Road, Near Mahalaxmi Temple",510,ES (Sahyadri),102,142,306,226,39
Maharashtra,Latur,MIDC Water Works,641,RIRuO,99,51,334,179,67
Maharashtra,Latur,Terrace of Kshewraj Vidyalaya Shyamnagar,642,RIRuO,104,91,622,297,108
Maharashtra,Latur,Terrace of Sidhheshwar Sahakari Bank Ganjgolai,643,RIRuO,61,116,765,253,104
Maharashtra,Mahad,"Water treatment plant, Bhirwadi",569,RIRuO,66,65,384,164,62
Maharashtra,Mahad,"EHS, M/s Privi organics Ltd",570,RIRuO,56,46,281,148,53
Maharashtra,Mahad,"Mahatma Phule Hall, MNP",571,RIRuO,50,63,343,156,77
Maharashtra,Mumbai,Kalbadevi,169,RIRuO,84,52,421,206,95
Maharashtra,Mumbai,"Parel , Ambedkar Road",170,RIRuO,98,70,568,246,110
Maharashtra,Mumbai,Worli,349,RIRuO,89,57,323,176,62
Maharashtra,Nagpur,Institution of Engineers,287,RIRuO,87,73,384,141,51
Maharashtra,Nagpur,"Govt. Polytechnic College, Sadar",314,RIRuO,88,68,398,135,51
Maharashtra,Nagpur,MIDC Office Hingana Road,288,RIRuO,83,45,367,164,71
Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna",165,RIRuO,55,73,486,239,102
Maharashtra,Nagpur,"Maskasath, Itwari",166,RIRuO,87,39,691,226,124
Maharashtra,Nagpur,"NEERI Lab, Nehru Marg",167,RIRuO,61,40,457,128,68
Maharashtra,Nashik,R.T.O. Colony Tank,259,RIRuO,112,28,355,145,75
Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura",269,RIRuO,113,31,366,140,78
Maharashtra,Nashik,Nashik Municipal Council Building,280,RIRuO,111,29,380,150,87
Maharashtra,Navi Mumbai,"T.B.I.A, Rabale , Airoli, TTC",491,RIRuO,102,35,582,203,100
Maharashtra,Navi Mumbai,"Dr. D.Y. Patil College, Nerul, TTC",492,RIRuO,104,37,710,180,100
Maharashtra,Navi Mumbai,"MPCB Central Lab, Mhape",493,RIRuO,96,61,459,226,93
Maharashtra,Navi Mumbai,CIDCO Nodal Office Kharghar,494,RIRuO,105,38,509,192,90
Maharashtra,Navi Mumbai,"Panvel Residential Area, Taloja",495,RIRuO,96,43,641,195,106
Maharashtra,Navi Mumbai,MIDC Collom Faciolity Building,496,RIRuO,99,112,821,497,182
Maharashtra,Pune,"Maratha Chamber of commerce, Bhosari",312,RIRuO,192,104,45,104,57
Maharashtra,Pune,State Electricity Board BLDG Nalstop,379,RIRuO,105,41,495,204,104
Maharashtra,Pune,Swargate Police Chawki,381,RIRuO,105,34,420,203,108
Maharashtra,Roha,Roha Industrial Association office,572,RIRuO,64,67,301,152,44
Maharashtra,Roha,Filter House of MIDC Water works,573,RIRuO,160,61,68,249,39
Maharashtra,Sangli,"Udyog bhavan / SRO, MPCB Sangli",574,RIRuO,105,21,150,79,33
Maharashtra,Sangli,Sangli- Miraj Primary school Building,575,RIRuO,104,32,212,92,43
Maharashtra,Sangli,Krishna Valley School,576,RIRuO,104,28,207,108,44
Maharashtra,Solapur,WIT Campus,299,RIRuO,106,145,280,208,31
Maharashtra,Solapur,Voronoko School / Chitale Clinic,300,RIRuO,107,145,291,207,30
Maharashtra,Thane,"Maternity Hospital,Dhobighat,Kopri",303,RIRuO,114,70,93,76,5
Maharashtra,Thane,"Terrace of Shahu Market,Naupada",304,RIRuO,117,74,92,80,4
Maharashtra,Ulhasnagar,Smt. C. H. M. College Campus,647,RIRuO,99,45,229,120,43
Maharashtra,Ulhasnagar,Octroi Naka,648,RIRuO,94,61,338,148,55
Mizoram,Aizawl,"Khatla, M.G-Road, Roof Top of Mizoram SPCB",450,ES (Hill station),104,56,174,90,23
Mizoram,Aizawl,"Bawngkawn , Roof Top of Mr.K.L. Berema’s resi-dence",452,ES (Hill station),104,63,176,100,23
Nagaland,Dimapur,Bank Colony,317,RIRuO,93,19,287,135,74
Nagaland,Dimapur,Dhobinala,448,RIRuO,93,23,318,140,71
Nagaland,Kohima,Opposite NST Office,609,ES (Hill station),51,19,202,88,49
Orissa,Angul,Industrial Estate,70,RIRuO,118,75,446,295,95
Orissa,Angul,NALCO Township,231,RIRuO,100,65,414,149,45
Orissa,Balasore,Sahadevkhunta,428,RIRuO,100,84,206,160,32
Orissa,Berhampur,Regional Office Orissa SPCB,429,RIRuO,95,62,396,143,56
Orissa,Bhubneshwar,Capital Police Station,424,RIRuO,105,65,547,172,95
Orissa,Bhubneshwar,IRC Village,423,RIRuO,98,42,343,148,59
Orissa,Bhubneshwar,SPCB Building,322,RIRuO,113,65,418,179,71
Orissa,Cuttack,"Roof of Traffic Tower, Badambadi",426,RIRuO,105,99,445,231,80
Orissa,Rayagada,Regional Office Orissa SPCB,428,RIRuO,103,18,303,87,34
Orissa,Rayagada,"LPS High School, Jaykaypur",229,RIRuO,103,24,139,92,25
Orissa,Rourkela,"Regional Office, ORPB",370,RIRuO,94,170,274,213,21
Orissa,Rourkela,"IDL Police Out-post, Sonaparbat",227,RIRuO,104,172,247,208,15
Orissa,Sambalpur,"Filter Plant, PHD Office, Modipara",427,RIRuO,84,95,165,131,15
Orissa,Talcher,Coal Field Area / MCL AREA,471,RIRuO,66,123,438,277,69
Orissa,Talcher,T.T.P.S.Colony,68,RIRuO,103,84,363,203,55
