State,City,Station,Type,Numbers of  monitoring days (n),Sulfur Dioxide(SO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Chandigarh,Chandigarh,Punjab Eng College,Residential and other,140,2,0,0,Low
Chandigarh,Chandigarh,Sector-17 C,Residential and other,145,2,0,0,Low
Chandigarh,Chandigarh,Sector-39,Residential and other,144,2,0,0,Low
Chandigarh,Bhilai Nagar,M.P.L.U. Nigam,Industrial,95,22,7,0,Low
Chandigarh,Bhilai Nagar,Regional Office,Residential and other,93,5,1,0,Low
Chandigarh,Bhilai Nagar,Visak Hostel,Residential and other,92,18,5,0,Low
Chandigarh,Korba,"I.T.I, Rampur",Residential and other,101,14,1,0,Low
Chandigarh,Korba,Near Ghantaghar,Residential and other,104,13,1,0,Low
Chattisgarh,Korba,Pragati Nagar,Residential and other,102,13,0,0,Low
Chattisgarh,Raipur,Wool Worth I.Pvt.Ltd,Industrial,35,20,3,0,NA
Chattisgarh,Raipur,"New HIG - 9, Hirapur",Residential and other,46,18,4,0,NA
Chattisgarh,Raipur,Yatayat Thana,Residential and other,40,17,3,0,NA
Dadra & Nagar Haveli,Silvassa,Khadoli Ind. Area,Industrial,78,9,2,0,Low
Daman & Diu,Daman,Kadaiya Ind. Area,Industrial,76,7,0,0,Low
Delhi,Delhi,Mayapuri Indl. Area,Industrial,96,10,6,0,Low
Delhi,Delhi,Shahdara,Industrial,74,4,1,0,Low
Delhi,Delhi,Shahzada Bagh,Industrial,77,5,1,0,Low
Delhi,Delhi,Janakpuri,Residential and other,77,6,1,0,Low
Delhi,Delhi,N.Y. School,Residential and other,96,5,4,0,Low
Delhi,Delhi,Nizamuddin,Residential and other,75,6,1,0,Low
Delhi,Delhi,Pritampura,Residential and other,74,4,0,0,Low
Delhi,Delhi,Siri Fort,Residential and other,74,6,1,0,Low
Delhi,Delhi,Town Hall,Residential and other,96,8,7,0,Low
Goa,Mormugao,Mormugao Port Trust,Industrial,102,4,2,0,Low
Goa,Panaji,Near Old GSPCB,Residential and other,98,3,2,0,Low
Goa,Vasco,Electricity Deptt.,Industrial,78,4,3,0,Low
Gujarat,Ahmedabad,Naroda,Industrial,104,18,4,0,Low
Gujarat,Ahmedabad,Shardaban Hospital,Industrial,96,14,2,0,Low
Gujarat,Ahmedabad,Behrampura,Residential and other,103,16,3,0,Low
Gujarat,Ahmedabad,Cadilla Bridge Narol,Residential and other,101,19,4,0,Low
Gujarat,Ahmedabad,L.D. Eng. College,Residential and other,98,13,2,0,Low
Gujarat,Ahmedabad,R.C. High School,Residential and other,105,15,2,0,Low
Gujarat,Anklesvar,Rallies India Ltd,Industrial,105,21,2,0,Low
Gujarat,Anklesvar,Durga Traders,Residential and other,105,17,1,0,Low
Gujarat,Jamnagar,Fisheries Office,Residential and other,105,14,3,0,Low
Gujarat,Rajkot,Sardhara Indl.Corp.,Industrial,104,12,2,0,Low
Gujarat,Rajkot,Regional Office,Residential and other,100,10,2,0,Low
Gujarat,Surat,B.R.C. High School,Industrial,103,23,2,0,Low
Gujarat,Surat,Near A.I. Office,Residential and other,103,17,2,0,Low
Gujarat,Surat,S.V.R. Eng. College,Residential and other,106,15,2,0,Low
Gujarat,Vadodara,CETP,Industrial,105,22,4,0,Low
Gujarat,Vadodara,Dandia Bazar,Residential and other,110,16,4,0,Low
Gujarat,Vadodara,GPCB Office,Residential and other,110,11,2,0,Low
Gujarat,Vapi,GEB,Industrial,98,18,1,0,Low
Gujarat,Vapi,Vapi Nagar Palika,Residential and other,104,15,2,0,Low
Haryana,Faridabad,"M/s Shivalik Global, Mathura Road, Faridabad",Industrial,NA,15,NA,NA,NA
Haryana,Faridabad,"HSPCB office, Ballabgard, Faridabad",Residential and other,NA,15,NA,NA,NA
Haryana,Hisar,Urban Estate-II,Residential and other,11,8,1,0,NA
Haryana,Yamunanagar,Ballarpur Industries,Industrial,34,13,3,0,NA
Himachal Pradesh,Baddi,AHC,Industrial,59,4,1,0,Low
Himachal Pradesh,Baddi,Industry Department,Industrial,84,4,1,0,Low
Himachal Pradesh,Baddi,Housing Board,Residential and other,31,3,1,0,NA
Himachal Pradesh,Damtal,Old Road,Residential and other,92,2,0,0,Low
Himachal Pradesh,Damtal,Regional Office,Residential and other,106,2,2,0,Low
Himachal Pradesh,Nahan,Industrial Area,Industrial,150,3,1,0,Low
Himachal Pradesh,Nahan,Trilok Pur,Residential and other,160,2,0,0,Low
Himachal Pradesh,Nalagarh,M.C.,Residential and other,63,4,1,0,Low
Himachal Pradesh,Paonta Sahib,Gondpur Indl. Area,Industrial,134,2,1,0,Low
Himachal Pradesh,Paonta Sahib,Paonta Sahib,Residential and other,133,2,0,0,Low
Himachal Pradesh,Parwanoo,AC Office Bldg.,Industrial,126,4,1,0,Low
Himachal Pradesh,Parwanoo,Central Laboratory,Residential and other,117,3,1,0,Low
Himachal Pradesh,Shimla,Bus Stand,Residential and other,132,3,2,0,Low
Himachal Pradesh,Shimla,Tekka Bench Ridge,Sensitive,127,3,1,0,Low
Jammu & Kashmir,Jammu,B.Brahmana,Industrial,38,14,4,0,NA
Jammu & Kashmir,Jammu,M.A.Stadium,Residential and other,54,6,3,0,Low
Jammu & Kashmir,Jammu,Regional Office,Residential and other,60,6,2,0,Low
Jharkhand,Dhanbad,Regional Office,Residential and other,48,17,4,0,NA
Jharkhand,Jamshedpur,Bistupur Vehicle TC,Industrial,103,36,2,0,Moderate
Jharkhand,Jamshedpur,Golmuri Vehical TC,Industrial,99,36,2,0,Moderate
Jharkhand,Jharia,M.A.D.A.,Industrial,72,17,3,0,Low
Jharkhand,Ranchi,Albert Ekka Chowk,Residential and other,84,18,2,0,Low
Jharkhand,Sindri,BIT,Industrial,66,16,3,0,Low
Karnataka,Bangalore,Graphite India,Industrial,97,17,3,0,Low
Karnataka,Bangalore,KHB Indl Area,Industrial,95,15,2,0,Low
Karnataka,Bangalore,Peenya Indl. Area,Industrial,63,16,2,0,Low
Karnataka,Bangalore,AMCO Batteries,Residential and other,101,15,2,0,Low
Karnataka,Bangalore,R.V.College,Residential and other,6,6,3,NA,NA
Karnataka,Bangalore,Yeshwanthpura,Residential and other,106,17,3,0,Low
Karnataka,Bangalore,Victoria Hospital,Sensitive,98,14,2,0,Moderate
Karnataka,Belgaum,Karnataka SPCB,Industrial,78,2,0,0,Low
Karnataka,Gulbarga,Govt. Hospital,Sensitive,99,3,0,0,Low
Karnataka,Hassan,N.R. Circle,Residential and other,107,4,1,0,Low
Karnataka,Hubli-dharwad,L. Industrial Area,Industrial,88,4,1,0,Low
Karnataka,Hubli-dharwad,Rani C. Circle,Residential and other,96,3,1,0,Low
Karnataka,Mangalore,Stides Premises,Industrial,104,7,2,0,Low
Karnataka,Mysore,K.R. Circle,Residential and other,103,15,5,0,Low
Karnataka,Mysore,KSPCB Building,Industrial,107,14,4,0,Low
Karnataka,Kochi,Eloor,Industrial,90,2,0,0,Low
Karnataka,Kochi,FACT Udyogmandal,Industrial,92,2,0,0,Low
Karnataka,Kochi,Irumpanam,Industrial,107,4,2,0,Low
Karnataka,Kochi,CSIR Complex,Industrial,107,5,3,0,Low
Karnataka,Kochi,Ernakulum South,Residential and other,108,4,2,0,Low
Karnataka,Kochi,"FCI, OEN C. O. Bldg",Residential and other,108,5,2,0,Low
Karnataka,Kochi,M.G. Road,Residential and other,108,4,2,0,Low
Karnataka,Kottayam,Vadavathoor,Industrial,96,5,0,0,Low
Karnataka,Kottayam,Kottayam,Residential and other,96,6,1,0,Low
Karnataka,Kozhikode,Nallalam,Industrial,108,2,0,0,Low
Karnataka,Kozhikode,Kozhikode City,Residential and other,105,2,0,0,Low
Karnataka,Palakkad,Carboradum/SEPR,Industrial,118,3,2,0,Low
Karnataka,Trivandrum,Hi Tech Chackai,Industrial,108,18,3,0,Low
Karnataka,Trivandrum,Sasthamangalam,Residential and other,110,7,1,0,Low
Karnataka,Trivandrum,SMV School,Residential and other,106,7,2,0,Low
Maharashtra,Amravati,Apurva Oil and Ind.,Industrial,104,11,1,0,Low
Maharashtra,Amravati,Govt. Coll. of Engg.,Residential and other,102,10,1,0,Low
Maharashtra,Amravati,Rajkamal Square,Residential and other,104,13,2,0,Low
Maharashtra,Aurangabad (MS),C.A.D.A. Office,Residential and other,96,7,2,0,Low
Maharashtra,Aurangabad (MS),S.B.E.S. College,Residential and other,96,8,2,0,Low
Maharashtra,Aurangabad (MS),Bibi-Ka-Maqbara,Sensitive,97,6,2,0,Low
Maharashtra,Chandrapur,M.I.D.C.,Industrial,77,44,27,12,Moderate
Maharashtra,Chandrapur,Nagar Parishad,Residential and other,69,34,20,4,Moderate
Maharashtra,Chandrapur,"SRO, Bapat Nagar",Residential and other,75,37,19,4,Moderate
Maharashtra,Kolhapur,Mahadwar Road,Residential and other,101,12,3,0,Low
Maharashtra,Kolhapur,S.T. Stand,Residential and other,103,15,3,0,Low
Maharashtra,Kolhapur,Shivaji University,Residential and other,103,8,1,0,Low
Maharashtra,Mahad,EHS mahad,Industrial,45,12,1,0,NA
Maharashtra,Mahad,"MNP, Phulle Hall",Residential and other,38,11,1,0,NA
Maharashtra,Mahad,"WTP, Bhirwadi",Residential and other,44,12,2,0,NA
Maharashtra,Mumbai,Parel,Industrial,93,5,4,0,Low
Maharashtra,Mumbai,Kalbadevi,Residential and other,87,6,6,0,Low
Maharashtra,Mumbai,Worli,Residential and other,96,6,6,0,Low
Maharashtra,Nagpur,MIDC Industrial Area/Hingana,Industrial,94,3,3,0,Low
Maharashtra,Nagpur,MIDC Office,Industrial,105,10,1,0,Low
Maharashtra,Nagpur,Govt. Poly. College,Residential and other,94,10,1,0,Low
Maharashtra,Nagpur,Institution of Eng.,Residential and other,104,10,2,0,Low
Maharashtra,Nagpur,Maskasath,Residential and other,98,3,2,0,Low
Maharashtra,Nagpur,NEERI Lab,Residential and other,97,2,1,0,Low
Maharashtra,Nashik,VIP Industrial Area,Industrial,102,24,5,0,Low
Maharashtra,Nashik,NMC Building,Residential and other,103,23,5,0,Low
Maharashtra,Nashik,RTO Colony Tank,Residential and other,103,23,5,0,Low
Maharashtra,Navi Mumbai,MIDC Taloja,Industrial,105,25,20,4,Low
Maharashtra,Navi Mumbai,MPCB Central Lab,Industrial,104,15,11,1,Low
Maharashtra,Navi Mumbai,Airoli,Residential and other,101,13,11,0,Low
Maharashtra,Navi Mumbai,Kharghar,Residential and other,100,10,8,0,Low
Maharashtra,Navi Mumbai,Nerul,Residential and other,107,14,17,4,Low
Maharashtra,Navi Mumbai,Panvel Water Works,Residential and other,103,12,4,0,Low
Maharashtra,Pune,Bhosari,Industrial,106,30,18,3,Moderate
Maharashtra,Pune,Nalstop,Residential and other,103,22,8,0,Low
Maharashtra,Pune,Swargate,Residential and other,110,23,9,0,Low
Maharashtra,Solapur,WIT Campus,Industrial,104,18,2,0,Low
Maharashtra,Solapur,Chitale Clinic,Residential and other,105,18,2,0,Low
Maharashtra,Thane,Balkum/Kolshet,Industrial,87,14,3,0,Low
Maharashtra,Thane,Kopri,Residential and other,98,10,2,0,Low
Maharashtra,Thane,Naupada,Residential and other,100,13,2,0,Low
Meghalaya,Byrnihat,EPIP,Industrial,44,18,26,7,NA
Meghalaya,Dawki,Terrance Building,Residential and other,14,3,3,0,NA
Meghalaya,Shillong,Boards Office,Residential and other,82,2,0,0,Low
Meghalaya,Shillong,Tuberculosis Hosp.,Residential and other,88,2,0,0,Low
Mizoram,Aizawl,Bawngkawn,Residential and other,104,2,0,0,Low
Mizoram,Aizawl,Khatla,Residential and other,103,2,0,0,Low
Mizoram,Aizawl,Laipuitlang,Residential and other,104,2,0,0,Low
Madhya Pradesh,Bhopal,Govindpura,Industrial,45,7,2,0,NA
Madhya Pradesh,Bhopal,Hamidia Road,Residential and other,58,8,3,0,Low
Madhya Pradesh,Bhopal,T.T.Nagar,Residential and other,59,5,2,0,Low
Madhya Pradesh,Dewas,EID Perry (I) Ltd.,Industrial,95,13,4,0,Low
Madhya Pradesh,Dewas,Vikas Nagar,Residential and other,94,12,3,0,Low
Madhya Pradesh,Gwalior,Dindayal Nagar,Residential and other,46,8,1,0,NA
Madhya Pradesh,Gwalior,Maharaj Bada,Residential and other,14,11,2,0,NA
Madhya Pradesh,Indore,M.P. Laghu Udyog,Industrial,43,11,4,0,NA
Madhya Pradesh,Indore,Kothari Market,Residential and other,43,11,4,0,NA
Madhya Pradesh,Indore,Telephone Nagar,Residential and other,83,6,2,0,Low
Madhya Pradesh,Jabalpur,Vijay Nagar,Residential and other,94,2,0,0,Low
Madhya Pradesh,Nagda,Chem. D. Labour Club,Industrial,62,26,7,0,Low
Madhya Pradesh,Nagda,BCI Labour Club,Residential and other,86,17,4,0,Low
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,Residential and other,95,23,5,0,Low
Madhya Pradesh,Sagar,Pt. Deendayal Nagar,Residential and other,86,4,1,0,Low
Madhya Pradesh,Satna,Sub-Divisional Off.,Industrial,41,3,1,0,NA
Madhya Pradesh,Satna,Regional Office,Residential and other,26,3,1,0,NA
Madhya Pradesh,Ujjain,District Office,Industrial,74,14,2,0,Low
Madhya Pradesh,Ujjain,Regional Office,Residential and other,83,8,3,0,Low
Madhya Pradesh,Ujjain,Mahakal Temple,Sensitive,80,10,2,0,Low
Nagaland,Dimapur,Bank Colony,Residential and other,45,2,0,0,NA
Nagaland,Dimapur,Dhobinala,Residential and other,45,2,0,0,NA
Orissa,Angul,Industrial Estate,Industrial,104,6,1,0,Low
Orissa,Angul,NALCO Township,Residential and other,84,8,2,0,Low
Orissa,Balasore,Sahadevkhunta,Residential and other,51,2,0,0,Low
Orissa,Berhampur,Regional Office,Residential and other,105,2,0,0,Low
Orissa,Bhubaneshwar,Capital Police Stn.,Residential and other,105,2,0,0,Low
Orissa,Bhubaneshwar,IRC,Residential and other,104,2,0,0,Low
Orissa,Bhubaneshwar,OSPCB Bldg,Residential and other,112,2,2,0,Low
Orissa,Cuttack,"Badambi, Cuttack",Residential and other,104,2,0,0,Low
Orissa,Cuttack,R.O. Cuttack,Residential and other,105,2,0,0,Low
Orissa,Rayagada,LPS H. School,Industrial,105,3,0,0,Low
Orissa,Rayagada,Regional Office,Residential and other,111,3,2,0,Low
Orissa,Rourkela,IDL Police Out-post,Residential and other,105,5,2,0,Low
Orissa,Rourkela,Regional Office,Residential and other,106,6,2,0,Low
Orissa,Sambalpur,"PHD Ofice, Sambalpur",Residential and other,125,4,1,0,Low
Orissa,Talcher,Coal Field Area,Industrial,95,14,3,0,Low
Orissa,Talcher,T.T.P.S Colony,Industrial,104,10,2,0,Low
Pondicherry,Pondicherry,PIPDIC,Industrial,63,4,1,0,Low
Pondicherry,Pondicherry,Chamber of Commerce,Residential and other,100,3,1,0,Low
Pondicherry,Pondicherry,DSTC Office,Residential and other,59,4,1,0,Low
Punjab,Amritsar,Nagina Soap Factory,Industrial,65,15,3,0,Low
Punjab,Amritsar,A-1 Platters,Residential and other,81,15,1,0,Low
Punjab,Bathinda,Bathinda Milk Plant,Industrial,113,8,1,0,Low
Punjab,Dera Bassi,Bhanakarpur Road,Industrial,132,8,3,0,Low
Punjab,Dera Bassi,Winsome Yarns Ltd,Industrial,124,8,1,0,Low
Punjab,Gobindgarh,Raj Steel,Industrial,120,10,3,0,Low
Punjab,Gobindgarh,Modi oil & GM,Residential and other,44,11,4,0,NA
Punjab,Gobindgarh,United Rolling Mills,Residential and other,137,11,4,0,Low
Punjab,Jalandhar,Focal Point,Industrial,23,14,4,0,NA
Punjab,Jalandhar,Punjab Maltex,Industrial,62,13,1,0,Low
Punjab,Jalandhar,MC Tube Well No.27,Residential and other,107,12,1,0,Low
Punjab,Jalandhar,Regional Office,Residential and other,116,11,3,0,Low
Punjab,Khanna,Markfed Vanaspati,Industrial,136,9,2,0,Low
Punjab,Khanna,A S School,Residential and other,135,9,2,0,Low
Punjab,Ludhiana,Milk Plant,Industrial,105,8,2,0,Low
Punjab,Ludhiana,Rita Sewing Machines,Industrial,91,9,2,0,Low
Punjab,Ludhiana,Bharat Nagar Chowk,Residential and other,31,10,1,0,NA
Punjab,Ludhiana,PPCB Office Bldg.,Residential and other,124,9,2,0,Low
Punjab,Naya Nangal,NFL Guest House,Residential and other,129,8,1,0,Low
Punjab,Naya Nangal,Punjab Alkalies,Residential and other,109,8,1,0,Low
Rajasthan,Alwar,Gaurav Solvex Ltd.,Industrial,99,8,1,0,Low
Rajasthan,Alwar,RIICO Pump House,Industrial,100,8,1,0,Low
Rajasthan,Alwar,Regional Office,Residential and other,106,8,2,0,Low
Rajasthan,Jaipur,MIA,Industrial,105,5,1,0,Low
Rajasthan,Jaipur,VKIA,Industrial,107,7,1,0,Low
Rajasthan,Jaipur,Ajmeri Gate,Residential and other,105,6,1,0,Low
Rajasthan,Jaipur,Chandpole,Residential and other,103,6,1,0,Low
Rajasthan,Jaipur,RSPCB Office,Residential and other,106,5,1,0,Low
Rajasthan,Jaipur,Vidyadhar Nagar,Residential and other,103,6,1,0,Low
Rajasthan,Jodhpur,Basni Indl. Area,Industrial,87,6,1,0,Low
Rajasthan,Jodhpur,DIC,Industrial,99,6,1,0,Low
Rajasthan,Jodhpur,Housing Board,Residential and other,83,5,0,0,Low
Rajasthan,Jodhpur,M M Police Thane,Residential and other,102,5,0,0,Low
Rajasthan,Jodhpur,Shashtri Nagar,Residential and other,84,6,1,0,Low
Rajasthan,Jodhpur,Sojati Gate,Residential and other,83,7,1,0,Low
Rajasthan,Kota,Regional Office,Industrial,104,9,4,0,Low
Rajasthan,Kota,Municipal C. Bldg,Residential and other,103,7,1,0,Low
Rajasthan,Kota,Samcore Glass,Residential and other,105,6,1,0,Low
Rajasthan,Udaipur,"Regional Office, MIA",Industrial,101,5,1,0,Low
Rajasthan,Udaipur,Ambamata,Residential and other,97,4,2,0,Low
Rajasthan,Udaipur,Town Hall,Residential and other,102,5,1,0,Low
Tamilnadu,Chennai,Govt. High School,Industrial,94,12,3,0,Low
Tamilnadu,Chennai,Kathivakkam,Industrial,93,12,3,0,Low
Tamilnadu,Chennai,M C Thiruvottiyur,Industrial,94,5,3,0,Low
Tamilnadu,Chennai,Thiruvottiyur,Industrial,93,13,3,0,Low
Tamilnadu,Chennai,Madras Med. College,Residential and other,90,5,3,0,Low
Tamilnadu,Chennai,NEERI CSIR Campus,Residential and other,96,4,2,0,Low
Tamilnadu,Coimbatore,SIDCO Office,Industrial,82,7,3,0,Low
Tamilnadu,Coimbatore,Dist. Coll. Office,Residential and other,90,6,3,0,Low
Tamilnadu,Coimbatore,Ponniyarajapuram,Residential and other,74,5,2,0,Low
Tamilnadu,Madurai,Fenners (I) Ltd.,Industrial,98,11,3,0,Low
Tamilnadu,Madurai,Highway Bldg.,Residential and other,97,10,2,0,Low
Tamilnadu,Madurai,Kunnathur Chatram,Residential and other,93,10,3,0,Low
Tamilnadu,Salem,Sowdeswari College,Residential and other,129,8,1,0,Low
Tamilnadu,Thoothukudi,Raja Agencies,Industrial,88,21,10,0,Low
Tamilnadu,Thoothukudi,AVM Jewellery Bldg.,Residential and other,95,20,11,0,Low
Tamilnadu,Thoothukudi,Fisheries College,Residential and other,94,22,10,0,Low
Uttar Pradesh,Agra,Nunhai,Sensitive,90,10,1,0,Low
Uttar Pradesh,Agra,Regional Office,Sensitive,95,10,1,0,Low
Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive,104,4,2,0,Low
Uttar Pradesh,Agra,Itmad-ud-daulah,Sensitive,104,3,2,0,Low
Uttar Pradesh,Agra,Rambagh,Sensitive,102,3,3,0,Low
Uttar Pradesh,Agra,Taj Mahal,Sensitive,266,4,3,0,Low
Uttar Pradesh,Allahabad,Bharat Yantra Nigam,Residential and other,102,3,1,0,Low
Uttar Pradesh,Allahabad,Square Crossing,Residential and other,103,4,1,0,Low
Uttar Pradesh,Anpara,Renusagar Colony,Industrial,89,18,2,0,Low
Uttar Pradesh,Anpara,Anpara Colony,Industrial,87,18,2,0,Low
Uttar Pradesh,Firozabad,CDGI,Industrial,101,24,5,0,Low
Uttar Pradesh,Firozabad,Raza Ka Tal,Residential and other,95,22,5,0,Low
Uttar Pradesh,Firozabad,Tilak Nagar,Residential and other,93,20,4,0,Low
Uttar Pradesh,Ghaziabad,Atlas Cycles Ltd,Industrial,78,32,6,0,Moderate
Uttar Pradesh,Ghaziabad,Bulandshahar R.I.A.,Industrial,74,27,6,0,Moderate
Uttar Pradesh,Jhansi,Jail Chauraha,Residential and other,115,9,1,0,Low
Uttar Pradesh,Jhansi,Veeranga Nagar,Residential and other,104,8,1,0,Low
Uttar Pradesh,Kanpur,Fazal Ganj,Industrial,80,8,1,0,Low
Uttar Pradesh,Kanpur,Jajmau,Industrial,82,7,1,0,Low
Uttar Pradesh,Kanpur,Dabauli,Residential and other,77,8,1,0,Low
Uttar Pradesh,Kanpur,Deputy Ka Parao,Residential and other,84,7,1,0,Low
Uttar Pradesh,Kanpur,Kidwai nagar,Residential and other,89,8,1,0,Low
Uttar Pradesh,Khurja,CGCRI,Industrial,81,35,6,0,Moderate
Uttar Pradesh,Khurja,Ahirpara,Residential and other,78,26,9,0,Low
Uttar Pradesh,Lucknow,Talkatora,Industrial,93,9,1,0,Low
Uttar Pradesh,Lucknow,Aminabad,Residential and other,94,9,1,0,Low
Uttar Pradesh,Lucknow,Chandganj Nagar,Residential and other,96,8,1,0,Low
Uttar Pradesh,Lucknow,Kapoor Hotel,Residential and other,90,8,1,0,Low
Uttar Pradesh,Lucknow,Mahanagar,Residential and other,77,8,1,0,Low
Uttar Pradesh,Meerut,Begum Bridge,Residential and other,41,9,2,0,NA
Uttar Pradesh,Meerut,Thana Railway Road,Residential and other,29,8,2,0,NA
Uttar Pradesh,Noida,GEE-PEE,Industrial,98,9,1,0,Low
Uttar Pradesh,Noida,"R.O, UPPB",Residential and other,92,9,1,0,Low
Uttar Pradesh,Varanasi,Regional Office,Residential and other,89,17,1,0,Low
Uttar Pradesh,Varanasi,Sigra,Residential and other,94,17,1,0,Low
Uttarakhand,Dehradoon,Raipur Road,Industrial,33,28,2,0,NA
Uttarakhand,Dehradoon,Clock Tower,Residential and other,51,29,2,0,Moderate
West Bengal,Asansol,Asansol M.C.,Industrial,102,9,3,0,Low
West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",Industrial,43,8,2,0,NA
West Bengal,Asansol,"Burnpur Town Department, Burnpur",Industrial,43,7,2,0,NA
West Bengal,Durgapur,"Dew India Ltd., Dr. B. C. Roy Avenue, Durgapur",Industrial,102,12,3,0,Low
West Bengal,Durgapur,"Kwality Hotel, Bhiringi More, benachiti",Industrial,102,11,9,1,Low
West Bengal,Durgapur,"PCBL Club, Muchipara, Bidhannagar",Residential and other,102,8,2,0,Low
West Bengal,Durgapur,"DMC Water Works, Angadpur",Residential and other,43,8,1,0,NA
West Bengal,Haldia,Super Market,Industrial,9,9,1,0,NA
West Bengal,Haldia,WBIIDC,Industrial,9,10,1,0,NA
West Bengal,Howrah,Bandhaghat,Industrial,104,16,11,0,Low
West Bengal,Howrah,Howrah MC,Industrial,104,10,5,0,Low
West Bengal,Howrah,Bator,Residential and other,104,8,3,0,Low
West Bengal,Howrah,Naskarpara,Residential and other,104,13,10,0,Low
West Bengal,Kolkata,"Traffic Guard Building, Behala Chowrasta",Industrial,105,9,3,0,Low
West Bengal,Kolkata,Cossipore Police Stn,Industrial,97,22,16,1,Low
West Bengal,Kolkata,"National Sample Survey Building, Dunlop Bridge",Industrial,104,8,3,0,Low
West Bengal,Kolkata,"Upanagari Sporting Club, Baishnabghata",Residential and other,105,6,2,0,Low
West Bengal,Kolkata,Kasba,Residential and other,95,14,9,0,Low
West Bengal,Kolkata,Lal Bazar,Residential and other,96,17,10,0,Low
