state,year,month,aqi
8,1990,3,284.5
9,1990,3,226.5
11,1990,3,202.0
12,1990,3,201.625
13,1990,3,259.0
14,1990,3,244.0
19,1990,3,200.0
20,1990,3,333.0
21,1990,3,287.375
23,1990,3,204.66666666666666
24,1990,3,417.45454545454544
26,1990,3,364.0
0,1990,4,200.0
3,1990,4,358.0
4,1990,4,296.0
6,1990,4,408.6666666666667
7,1990,4,200.0
8,1990,4,379.5
9,1990,4,259.2
11,1990,4,202.875
12,1990,4,224.375
13,1990,4,393.15384615384613
14,1990,4,247.4
19,1990,4,200.0
20,1990,4,348.3333333333333
21,1990,4,309.625
23,1990,4,205.66666666666666
24,1990,4,429.8
26,1990,4,353.3333333333333
0,1990,5,200.0
3,1990,5,329.5
4,1990,5,269.0
6,1990,5,570.7777777777778
7,1990,5,200.0
8,1990,5,388.5
9,1990,5,253.25
11,1990,5,200.0
12,1990,5,200.75
13,1990,5,297.6923076923077
14,1990,5,210.33333333333334
19,1990,5,200.0
20,1990,5,399.5
21,1990,5,378.25
23,1990,5,200.0
24,1990,5,404.0
26,1990,5,390.125
0,1990,6,200.0
3,1990,6,320.5
4,1990,6,370.0
6,1990,6,601.1111111111111
7,1990,6,200.0
8,1990,6,403.5
9,1990,6,335.8333333333333
11,1990,6,220.5
12,1990,6,200.0
13,1990,6,315.1818181818182
14,1990,6,214.26666666666668
19,1990,6,200.0
20,1990,6,501.0
21,1990,6,328.0
23,1990,6,200.0
24,1990,6,502.4166666666667
26,1990,6,335.85714285714283
0,1990,7,200.0
3,1990,7,253.0
4,1990,7,200.0
6,1990,7,299.1111111111111
7,1990,7,200.0
8,1990,7,334.0
9,1990,7,207.66666666666666
11,1990,7,212.75
12,1990,7,210.375
13,1990,7,200.0
14,1990,7,207.8125
19,1990,7,200.0
20,1990,7,300.25
21,1990,7,200.0
23,1990,7,200.0
24,1990,7,312.1875
26,1990,7,283.57142857142856
0,1990,8,200.0
3,1990,8,246.375
4,1990,8,200.0
6,1990,8,245.55555555555554
7,1990,8,200.0
8,1990,8,320.5
9,1990,8,202.83333333333334
11,1990,8,202.14285714285714
12,1990,8,202.25
14,1990,8,200.0
19,1990,8,200.0
20,1990,8,233.75
21,1990,8,200.0
23,1990,8,200.0
24,1990,8,313.2142857142857
26,1990,8,241.71428571428572
0,1990,9,223.33333333333334
3,1990,9,224.625
4,1990,9,200.0
6,1990,9,215.0
7,1990,9,200.0
8,1990,9,272.0
9,1990,9,200.5
11,1990,9,227.75
12,1990,9,200.33333333333334
14,1990,9,200.0
19,1990,9,200.0
20,1990,9,244.0
21,1990,9,200.0
23,1990,9,200.0
24,1990,9,271.84615384615387
26,1990,9,204.11111111111111
0,1990,10,204.0
3,1990,10,264.5
4,1990,10,294.0
6,1990,10,298.8
7,1990,10,200.0
8,1990,10,242.0
9,1990,10,229.66666666666666
11,1990,10,221.85714285714286
12,1990,10,200.0
13,1990,10,248.14285714285714
14,1990,10,218.0
19,1990,10,200.0
20,1990,10,390.0
21,1990,10,200.0
23,1990,10,200.0
24,1990,10,453.8
26,1990,10,292.5
0,1990,11,218.33333333333334
3,1990,11,306.875
4,1990,11,250.0
6,1990,11,414.0
7,1990,11,200.0
8,1990,11,246.5
9,1990,11,251.4
11,1990,11,200.0
12,1990,11,200.0
13,1990,11,273.6
14,1990,11,245.27272727272728
19,1990,11,200.0
20,1990,11,533.75
21,1990,11,203.0
23,1990,11,204.33333333333334
24,1990,11,460.1333333333333
26,1990,11,449.4
3,1990,12,294.25
4,1990,12,316.6666666666667
6,1990,12,361.0
7,1990,12,200.0
8,1990,12,315.0
9,1990,12,235.5
11,1990,12,200.0
12,1990,12,200.0
13,1990,12,268.7142857142857
14,1990,12,259.0
20,1990,12,517.5
21,1990,12,200.0
23,1990,12,200.0
24,1990,12,498.9230769230769
26,1990,12,606.0
0,1991,1,200.0
2,1991,1,200.0
3,1991,1,277.625
4,1991,1,315.0
6,1991,1,393.1111111111111
7,1991,1,200.0
8,1991,1,302.3333333333333
9,1991,1,234.5
11,1991,1,202.0
12,1991,1,203.44444444444446
13,1991,1,310.5
14,1991,1,269.0625
16,1991,1,200.0
19,1991,1,200.0
20,1991,1,340.0
21,1991,1,201.25
23,1991,1,200.0
24,1991,1,480.2352941176471
26,1991,1,473.3333333333333
0,1991,2,243.33333333333334
2,1991,2,200.0
3,1991,2,497.75
4,1991,2,220.0
6,1991,2,313.3333333333333
