State ,City,Location,Type,Category of ES,No. of mon. days (n),Min,Max,SO2 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Solapur,Voronoko School / Chitale Clinic,300,RIRuO,NA,103,15,20,17,16,18,1,0,Low
Thane,"Maternity Hospital, Dhobighat, Thane East",303,RIRuO,NA,103,16,23,20,19,21,1,0,Low
Thane,"Shahu Market,Naupada, Thane West",304,RIRuO,NA,112,18,24,20,19,21,1,0,Low
Thane,"Kolshet and Balkum, Thane West",305,RIRuO,NA,94,13,25,19,15,21,3,0,Low
Ulhasnagar,Smt. C. H. M. College Campus,647,RIRuO,NA,101,20,76,40,24,62,15,0,Moderate
Ulhasnagar,"Octroi Naka, Pawai-Chowk, Vithalwadi",648,RIRuO,NA,103,23,97,52,33,73,16,5,High
Jalna,"Bachat Bhawan, Near S P Office",706,RIRuO,NA,102,5,13,9,6,11,2,0,Low
Jalna,"Krishidhan Seeds Ltd, MIDC Area",707,RIRuO,NA,97,6,14,10,7,13,2,0,Low
Akola,"LRT Commerce College, Civil Lines, Akola",700,RIRuO,NA,104,5,12,7,6,8,1,0,Low
Akola,"MIDC Water Work, Phash-II, MIDC Akola",701,RIRuO,NA,102,6,13,10,8,12,2,0,Low
Akola,"College Of Engineering & Tech, Akola",702,RIRuO,NA,99,6,12,9,7,11,1,0,Low
Nanded,Ganesh Nagar,703,RIRuO,NA,104,4,28,18,8,23,6,0,Low
Nanded,"Mutha Chowk, Vazirabad",704,RIRuO,NA,104,4,47,24,5,33,10,0,Low
Nanded,"Industrial Area, MIDC, CIDCO",705,RIRuO,NA,105,5,78,48,11,62,19,0,Moderate
Byrnihat,"EPIP, Ri-Bhoi district",568,RIRuO,NA,83,20,62,35,22,50,11,0,Moderate
Dawki,"Terrace building,Jaintia Hills District",588,RIRuO,NA,87,2,6,2,2,2,1,0,Low
Tura,"PHED, Araimille, West Garo Hills District",608,RIRuO,NA,79,2,2,2,2,2,0,0,Low
Shillong,State Tuberculosis Hospital,340,ES,Hill station,87,2,6,3,2,4,1,0,Low
Shillong,"Boards Office Permises, Lumpyngngad",120,ES,Hill station,87,2,2,2,2,2,0,0,Low
Aizawl,"Khatla, M.G-Road, Mizoram SPCB",450,ES,Hill station,94,2,2,2,2,2,0,0,Low
Aizawl,Laipuitlang,451,ES,Hill station,94,2,2,2,2,2,0,0,Low
Aizawl,Bawngkawn,452,ES,Hill station,94,2,2,2,2,2,0,0,Low
Aizawl,"Dawrpui Y.M.A, Building, Dawrpui",737,ES,Hill station,92,2,2,2,2,2,0,0,Low
Aizawl,"Lengpui Airport, Model Veng, Lengpui",738,ES,Hill station,100,2,4,2,2,2,0,0,Low
Lunglei,"Thangkhuma Building, Salem Veng",735,ES,Hill station,94,2,4,2,2,3,1,0,Low
Lunglei,"K.Lalliantluanga, Chanmari I, Lunglei",736,ES,Hill station,83,2,4,3,3,4,0,0,Low
Kolasib,"H. Lalthuama Building, Project Veng",733,ES,Hill station,100,2,4,2,2,2,0,0,Low
Kolasib,"Synod Bookroom, Building Diakkawn",734,ES,Hill station,98,2,5,2,2,3,0,0,Low
Champhai,"D.T.O Office Building, Kahrawt veng",731,ES,Hill station,103,2,5,2,2,2,0,0,Low
Champhai,"Lalzidinga building,  Vengthlang",732,ES,Hill station,100,2,4,2,2,2,0,0,Low
Dimapur,Bank Colony,317,RIRuO,NA,76,2,2,2,2,2,0,0,Low
Dimapur,Dhobinala,448,RIRuO,NA,63,2,2,2,2,2,0,0,Low
Kohima,Opposite NST Office,609,ES,Hill station,83,2,6,2,2,2,0,0,Low
Kohima,Opposite War Cemetery,610,ES,Hill station,80,2,2,2,2,2,0,0,Low
Angul,Industrial Estate,70,RIRuO,NA,103,4,10,7,5,8,1,0,Low
Angul,NALCO Township,231,RIRuO,NA,103,4,9,6,5,7,1,0,Low
Balasore,Sahadevkhunta,428,RIRuO,NA,105,2,3,2,2,2,0,0,Low
Balasore,DIC office,689,RIRuO,NA,77,2,2,2,2,2,0,0,Low
Balasore,Rasalpur near Balgopalpur I/A,690,RIRuO,NA,24,4,8,6,5,7,1,0,Null
Berhampur,Regional Office Orissa SPCB,429,RIRuO,NA,107,2,18,2,2,2,2,0,Low
Bhubneshwar,Capital Police Station,424,RIRuO,NA,93,2,3,2,2,2,0,0,Low
Bhubneshwar,IRC Village,423,RIRuO,NA,100,2,2,2,2,2,0,0,Low
Bhubneshwar,SPCB Building,322,RIRuO,NA,91,2,4,2,2,2,0,0,Low
Bhubneshwar,"Water works, Palasuni, Rasalgarh",687,RIRuO,NA,96,2,2,2,2,2,0,0,Low
Bhubneshwar,"Patrapara, Khandagiri",686,RIRuO,NA,91,2,2,2,2,2,0,0,Low
Cuttack,"Roof of Traffic Tower, Badambadi",426,RIRuO,NA,63,2,2,2,2,2,0,0,Low
Cuttack,"R.O. Cuttack Office, Surya Vihar",425,RIRuO,NA,36,2,2,2,2,2,0,0,Null
Rayagada,Regional Office Orissa SPCB,228,RIRuO,NA,104,2,5,3,2,4,1,0,Low
Rayagada,"LPS High School, Jaykaypur",229,RIRuO,NA,104,2,6,3,2,4,1,0,Low
Rourkela,"Regional Office, ORPB",370,RIRuO,NA,105,4,7,5,5,6,0,0,Low
Rourkela,"IDL Police Out-post, Sonaparbat",227,RIRuO,NA,105,4,6,5,5,5,0,0,Low
Sambalpur,"Filter Plant, PHD Office, Modipara",427,RIRuO,NA,112,2,6,3,2,5,1,0,Low
Talcher,Coal Field Area,471,RIRuO,NA,47,4,11,8,6,10,1,0,Null
Talcher,T.T.P.S.Colony,68,RIRuO,NA,103,3,13,8,5,10,2,0,Low
Kalinga Nagar,Over the Guest House of M/s NINL,684,RIRuO,NA,8,2,4,3,2,3,1,0,Null
Amritsar,R.O. Focal Point,487,RIRuO,NA,22,12,20,14,12,18,2,0,Null
Amritsar,"A-1,Platers",486,RIRuO,NA,41,12,19,15,12,18,2,0,Null
Dera Bassi,"Punjab Chem and Crop Protection, Bhanakarpur Rd",504,RIRuO,NA,125,4,20,9,7,13,3,0,Low
Dera Bassi,"Winsome Yarns Ltd., Barwala Road",505,RIRuO,NA,107,5,23,9,7,14,3,0,Low
Pathankot/Dera Baba,C-PYTE Building,590,RIRuO,NA,102,5,13,7,6,9,1,0,Low
Gobindgarh,"Modi Oil and General Mills, Mandi",302,RIRuO,NA,130,5,15,8,6,11,2,0,Low
Gobindgarh,"Raj Steel Rolling Mills, Mandi",301,RIRuO,NA,132,5,22,9,7,16,4,0,Low
Gobindgarh,"United Rolling Mills, Mandi Gobindgarh",483,RIRuO,NA,132,6,22,9,7,16,3,0,Low
Jalandhar,Municipal Council Tubewell No. 27,353,RIRuO,NA,51,11,16,13,12,15,1,0,Low
Jalandhar,Regional Office,176,RIRuO,NA,86,10,16,13,11,14,1,0,Low
Jalandhar,Focal Point,392,RIRuO,NA,54,10,15,14,13,14,1,0,Low
Khanna,"Markfed Vanaspati, Khanna",485,RIRuO,NA,55,7,16,10,8,8,2,0,Low
Khanna,"AS School, Khanna",484,RIRuO,NA,50,5,13,9,7,11,2,0,Low
Ludhiana,Bharat Nagar Chowk,422,RIRuO,NA,107,6,27,11,9,13,2,0,Low
Ludhiana,"Nahar Spining Mlls, Dholewal Chawk",76,RIRuO,NA,109,7,19,11,9,15,2,0,Low
Ludhiana,"Ludhiana Coop. Milk Producer, Ferozpur Rd",61,RIRuO,NA,117,4,22,9,5,12,3,0,Low
Ludhiana,"PPCB Office Building, Vishavkarma Chowk",335,RIRuO,NA,136,5,20,11,9,13,2,0,Low
Naya Nangal,Punjab Alkalis & Chemicals Ltd,420,RIRuO,NA,89,4,17,7,4,10,2,0,Low
Naya Nangal,"M/s NFL Guest House,Naya Nangal",421,RIRuO,NA,87,4,13,7,5,9,2,0,Low
Patiala,"Ceylon Industries, Factory Area, Patiala",600,RIRuO,NA,95,4,11,2,7,0,0,5,Low
Patiala,"Fire Brigade Station, Bahera Road, Patiala",599,RIRuO,NA,122,4,14,8,5,10,2,0,Low
Puducherry,"DSTC Office Upstairs, AnnaNagar",64,RIRuO,NA,93,5,11,8,9,6,1,0,Low
Puducherry,PIPDIC Ind. Estate Mettupalayam,93,RIRuO,NA,43,6,10,8,10,6,1,0,Null
Puducherry,Chamber Of Commerce,337,RIRuO,NA,89,4,9,7,8,5,1,0,Low
Alwar,Rajasthan State Pollution Control Board,372,ES,Aravali range,100,4,16,9,6,13,2,0,Low
Alwar,Gaurav Solvex Ltd. MIA,373,ES,Aravali range,95,5,41,12,10,14,4,0,Moderate
Alwar,"RIICO Pump House,  MIA",219,ES,Aravali range,105,6,17,11,7,13,2,0,Moderate
Jaipur,Ajmeri Gate,296,RIRuO,NA,98,6,70,9,6,13,7,0,Low
Jaipur,"RJPB Office,Jhalana Doongari",298,RIRuO,NA,101,5,13,8,6,10,2,0,Low
Jaipur,"District Education Officer, Chandpole",408,RIRuO,NA,98,5,168,11,6,13,16,1,Low
Jaipur,"RIICO Office, M.I.A.",410,RIRuO,NA,98,4,13,8,5,11,2,0,Low
Jaipur,"RSPCB, Vidyadhar Nagar",409,RIRuO,NA,95,5,14,10,6,13,3,0,Low
Jaipur,VKIA,297,RIRuO,NA,96,5,16,9,6,13,3,0,Low
Jodhpur,"DIC Office, Industrial Estate",413,RIRuO,NA,101,4,13,6,5,7,1,0,Low
Jodhpur,Sojati Gate,273,RIRuO,NA,100,4,14,6,5,8,1,0,Low
Jodhpur,"Basni Industrial Area, RIICO Office",274,RIRuO,NA,96,4,8,6,5,7,1,0,Low
Jodhpur,Maha Mandir Police Thane,376,RIRuO,NA,104,4,16,6,5,6,1,0,Low
Jodhpur,"Office of Housing Board, Chopasani Road",411,RIRuO,NA,98,4,15,6,5,7,1,0,Low
Jodhpur,Shastri Nagar Police Thana,412,RIRuO,NA,102,4,9,6,5,8,1,0,Low
Kota,"Regional Office, RJPB, Anantpura",17,RIRuO,NA,105,5,24,9,6,14,4,0,Low
Kota,Municipal Corporation Building,326,RIRuO,NA,102,5,18,7,6,10,2,0,Low
Kota,Samcore Glass Ltd.,325,RIRuO,NA,104,5,14,7,5,10,2,0,Low
Udaipur,Ambamata,320,RIRuO,NA,102,4,7,5,5,5,0,0,Low
Udaipur,Town Hall,294,RIRuO,NA,104,5,7,6,6,7,0,0,Low
Udaipur,"Regional Office,MIA",321,RIRuO,NA,104,5,7,6,6,7,0,0,Low
Chennai,"Kathivakkam, Municipal Kalyana Mandapam",38,RIRuO,NA,93,11,22,16,13,19,2,0,Low
Chennai,"Govt. High School, Manali",71,RIRuO,NA,98,11,24,16,13,19,2,0,Low
Chennai,Thiruvottiyur,72,RIRuO,NA,91,11,27,16,13,19,3,0,Low
Chennai,Madras Medical College,159,RIRuO,NA,95,2,47,10,4,18,8,0,Low
Chennai,"NEERI, CSIR CampusTaramani",160,RIRuO,NA,94,2,32,7,3,8,5,0,Low
Chennai,Thiruvottiyur Municipal Office,161,RIRuO,NA,95,2,45,11,6,16,8,0,Low
Coimbatore,"Poniarajapuram, On the top of DEL",375,RIRuO,NA,76,2,26,3,2,6,3,0,Low
Coimbatore,G.D.Matric Hr.Sec.School,238,RIRuO,NA,97,2,9,3,2,5,1,0,Low
Coimbatore,"SIDCO Office, Coimbatore/ Kurichi",237,RIRuO,NA,93,2,10,4,2,8,2,0,Low
Madurai,Highway (Project -I) Building,306,RIRuO,NA,98,10,28,21,4,16,26,0,Low
Madurai,Fenner (I) Ltd.  Kochadai,307,RIRuO,NA,103,7,17,11,8,16,3,0,Low
Madurai,Kunnathur Chatram Avvai Girls HS School,308,RIRuO,NA,88,7,14,10,8,11,1,0,Low
Salem,Sowdeswari College Building,309,RIRuO,NA,135,5,17,9,7,11,2,0,Low
Tuticorin,"Fisheries College, Tuticorin Sipcot",239,RIRuO,NA,100,4,35,15,5,27,8,0,Low
Tuticorin,Raja Agencies,240,RIRuO,NA,99,4,33,13,4,23,7,0,Low
Tuticorin,AVM Jewellery Building,366,RIRuO,NA,94,4,37,13,4,24,8,0,Low
Trichy,Gandhi Market,769,RIRuO,NA,31,8,18,12,10,15,2,0,Null
Trichy,Main Guard Gate,770,RIRuO,NA,26,9,15,11,10,15,2,0,Null
Trichy,Bishop Heber College,771,RIRuO,NA,33,7,12,9,8,11,1,0,Null
Trichy,Golden Rock,772,RIRuO,NA,28,8,12,10,9,11,1,0,Null
Trichy,Central Bus Stand,773,RIRuO,NA,30,10,17,13,11,15,2,0,Null
Agra,"Regional Office, Bodla",323,ES,Taj-trapezium,68,6,13,8,6,9,1,0,Low
Agra,Nunhai,324,ES,Taj-trapezium,66,7,14,10,8,11,1,0,Low
Agra,Taj Mahal,1,ES,Taj-trapezium,285,2,12,3,2,6,2,0,Low
Agra,DIC Nunhai,415,ES,Taj-trapezium,116,2,14,4,2,8,3,0,Low
Agra,Etmad-uddaulah,416,ES,Taj-trapezium,126,2,9,3,2,4,1,0,Low
Agra,Rambagh,417,ES,Taj-trapezium,124,2,22,3,2,4,2,0,Low
Allahabad,Square crossing circle of Laxmi Talkies,554,RIRuO,NA,107,2,26,5,3,7,3,0,Low
Allahabad,Bharat Yantra Nigam Ltd,555,RIRuO,NA,99,1,12,4,2,5,2,0,Low
Anpara,"Anpara Colony, Sonabhadra",6,RIRuO,NA,93,12,19,17,15,19,2,0,Low
Anpara,"Renusagar Colony, Sonabhadra",7,RIRuO,NA,93,13,19,18,16,19,1,0,Low
Bareily,IVRI Izatnaga,714,RIRuO,NA,77,7,18,11,8,14,2,0,Low
Bareily,"Indian oetrol pump, Civil Line",715,RIRuO,NA,72,6,30,14,11,16,3,0,Low
Firozabad,Center for Development of Glass Industry,399,ES,Taj-trapezium,90,8,16,13,10,15,2,0,Moderate
Firozabad,Tilak Nagar,400,ES,Taj-trapezium,96,8,15,12,9,13,2,0,Moderate
Firozabad,Raza ka Tal,401,ES,Taj-trapezium,96,8,15,12,10,14,2,0,Moderate
Gajraula,"Raunaq Auto Ltd, J.P. Nagar",140,RIRuO,NA,99,6,42,18,11,28,7,0,Low
Gajraula,"Indira Chowk, J.P. Nagar",139,RIRuO,NA,100,11,50,21,13,29,7,0,Low
Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",258,RIRuO,NA,103,20,85,30,23,38,8,1,Moderate
Ghaziabad,Bulandshaar Road Industrial Area,369,RIRuO,NA,99,23,40,30,24,36,4,0,Moderate
Jhansi,Manik Chawk / Jal chauraha,517,RIRuO,NA,110,6,16,9,6,10,1,0,Low
Jhansi,Veeranga Nagar,518,RIRuO,NA,110,5,15,7,6,9,1,0,Low
Kanpur,"Forest & Training Centre, Kidwai Nagar",212,RIRuO,NA,81,5,9,7,6,8,1,0,Low
Kanpur,Chamber Of Commerce Darshanpurwa,98,RIRuO,NA,76,5,9,7,7,9,1,0,Low
Kanpur,"Associated Chem Pvt Ltd, Fazalganj, Panki, Site-5",86,RIRuO,NA,79,6,9,8,7,9,1,0,Low
Kanpur,Dabauli / Shastri NGR,391,RIRuO,NA,64,5,9,7,6,8,1,0,Low
Kanpur,Jajmau / Awas Vikas,395,RIRuO,NA,68,5,9,7,6,8,1,0,Low
Kanpur,"I.I.T. Campus, Kanpur",721,RIRuO,NA,101,2,5,2,2,3,1,0,Low
Kanpur,"Dada Nagar, Kanpur",722,RIRuO,NA,78,2,115,23,3,45,22,3,Low
Kanpur,"Ramadevi, Kanpur",723,RIRuO,NA,94,2,9,3,2,5,1,0,Low
Khurja,Central Glass & Ceramic Research Institute,534,RIRuO,NA,84,20,31,28,24,31,3,0,Moderate
Khurja,Ahirpara,535,RIRuO,NA,83,19,28,23,20,25,2,0,Low
Lucknow,Mahanagar,377,RIRuO,NA,107,6,10,8,7,9,1,0,Low
Lucknow,"Chandganj Garden, Aliganj",398,RIRuO,NA,108,7,12,8,7,9,1,0,Low
Lucknow,"Kapoor Hotel, Hazratganj",109,RIRuO,NA,105,6,10,8,7,9,1,0,Low
Lucknow,Talkatora,113,RIRuO,NA,105,7,22,8,7,9,2,0,Low
Lucknow,Aminabad / S.M.K Chowk,397,RIRuO,NA,108,6,12,8,7,9,1,0,Low
Meerut,Begum Bridge,550,RIRuO,NA,64,4,6,4,4,5,0,0,Low
Meerut,Thana Railway Road / Kesarganj,551,RIRuO,NA,64,4,6,4,4,5,0,0,Low
Moradabad,"Hindu College, Station Road",712,RIRuO,NA,103,7,51,14,9,21,6,0,Low
Moradabad,"Central Police Hospital, Civil Lines",713,RIRuO,NA,101,5,39,12,7,18,6,0,Low
Noida,"UP PPCB, E-12/1, Sector - 1",403,RIRuO,NA,83,5,14,8,6,10,2,0,Low
Noida,Gee-Pee Electroplating and Eng. Work,378,RIRuO,NA,79,6,24,9,7,11,2,0,Low
Varanasi,"Regional Office, Jawahar Nagar",362,RIRuO,NA,71,17,21,18,1,17,18,0,Low
Varanasi,Sigra,553,RIRuO,NA,76,17,21,18,18,19,1,0,Low
Unnao,"H. No. 5, Krishna Nagar, Unnao",726,RIRuO,NA,57,6,9,7,6,8,1,0,Low
Unnao,"IIA Building, Industrial Area, Site 10, Unnao",727,RIRuO,NA,56,7,179,12,8,11,23,2,Low
Saharanpur,"SRE-A, IIT Roorkee, Saharanpur Campus",716,RIRuO,NA,102,8,20,12,9,15,2,0,Low
Saharanpur,"UPCL S.E. Office, Near Clock Tower",717,RIRuO,NA,102,6,13,10,7,12,2,0,Low
Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",718,RIRuO,NA,67,7,12,10,8,11,1,0,Low
Raebareli,Khoya mandi Tiraha Lucknow Road Raebareli,719,RIRuO,NA,67,10,15,12,10,14,1,0,Low
Raebareli,Amawan Road Ind. Area Raebareli,720,RIRuO,NA,67,6,183,12,9,11,21,1,Low
Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",724,RIRuO,NA,19,18,25,21,19,23,2,0,Null
Mathura,"CETP, Industrial Area, Mathura",725,RIRuO,NA,15,19,30,26,20,29,4,0,Null
Gorakpur,"M. M.M. Engineering College, Gorakhpur",728,RIRuO,NA,73,6,23,12,10,20,4,0,Low
Gorakpur,"India Glycol Ltd. Gida, Gorakhpur",729,RIRuO,NA,88,18,26,22,20,25,2,0,Low
Gorakpur,"Jalkal, Muncipal Corporation, Golghar",730,RIRuO,NA,88,14,30,20,15,28,5,0,Low
Dehradun,"Raipur Road, Near parag Diary",90,ES,Doon valley,55,22,32,26,23,29,2,0,High
Dehradun,"Clock Tower, PWD Guest House",89,ES,Doon valley,61,21,32,26,24,30,2,0,High
Dehradun,Himalaya Drug Co. Near ISBT,637,ES,Doon valley,52,21,32,26,23,28,2,0,High
Haldwani,Govt. Women Hospital,625,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Haridwar,"SIDCUL, Haridwar",635,RIRuO,NA,37,25,31,28,26,31,2,0,Null
Kashipur,"BSNL Office, Kashipur",627,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Rishikesh,Nagar Palika Parishad,636,ES,Hill station,75,20,25,22,21,24,1,0,High
Rudrapur,SIDCUL Office,626,RIRuO,NA,Null,Null,Null,Null,Null,Null,Null,Null,Null
Asansol,Asansol Municipal Corporation,386,RIRuO,NA,24,10,20,13,11,15,2,0,Null
Asansol,"Kangsabati Spinning Mill, Barjora",593,RIRuO,NA,26,3,12,6,4,8,2,0,Null
Barrackpore,Barrackpore Municiaplity,655,RIRuO,NA,25,11,20,13,11,15,2,0,Null
Durgapur,"Bidhannagar, PCBL Club, Muchipara",385,RIRuO,NA,25,11,18,13,11,15,2,0,Null
Haldia,WBIIDC Ruchi Soya Ind. Durgachak,14,RIRuO,NA,26,6,24,13,8,17,4,0,Null
Howrah,"CDS & Health Centre, Bator",11,RIRuO,NA,26,6,23,13,9,18,4,0,Null
Kolkata,"Salt Lake, Rooftop of CK Market",474,RIRuO,NA,69,2,16,5,2,11,4,0,Low
Kolkata,"Moulali, Rooftop of KMC office Building",473,RIRuO,NA,28,8,23,12,8,16,3,0,Null
Kolkata,"Minto Park, Inside Park AJC Bose Road",475,RIRuO,NA,61,2,16,6,2,11,4,0,Low
Kolkata,"Dunlop Bridge, National Sample Survey",472,RIRuO,NA,80,2,22,9,2,15,6,0,Low
Kolkata,"Behala Chowrasta, Traffic Guard Building",476,RIRuO,NA,28,6,20,11,7,16,3,0,Null
Kolkata,"Baishnabghata, Upanagari Sporting Club",477,RIRuO,NA,28,4,12,8,5,10,2,0,Null
Kolkata,"Cossipore Police Station, B.T. Road",162,RIRuO,NA,97,2,97,21,2,65,26,4,Low
Kolkata,"Dalhousie Square, Lal Bazzar Police Headqtr.",163,RIRuO,NA,59,2,92,16,2,52,22,3,Low
Kolkata,Kasba,348,RIRuO,NA,36,2,142,18,2,54,28,3,Null
Raniganj,Jamuria Municipality,661,RIRuO,NA,24,10,42,14,11,17,6,0,Null
South Suburban,"Bauipur Police Station, Baruipur",650,RIRuO,NA,28,5,12,8,6,10,2,0,Null
South Suburban,"P Roy Industrial Training Institute, Amtala",651,RIRuO,NA,29,5,17,8,5,11,3,0,Null
