State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Nitrogen Dioxide(NO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Karnataka,Bangalore,"TERI office, Vital Medi healthcare Pvt.Ltd",NA,RIRuO,15,23,244,63,30,48,98,59,13,Null
Karnataka,Bangalore,Victoria hospital,406,RIRuO,29,19,38,27,20,28,36,6,0,Null
Karnataka,Belgaum,Karnataka SPCB Office Building,460,ES (Sahyadri),83,5,38,15,9,13,26,7,0,Low
Karnataka,Gulburga,Government Hospital,459,RIRuO,77,6,25,13,10,13,16,3,0,Low
Karnataka,Hassan,KSRTC bus stand building,458,RIRuO,84,14,31,22,18,22,28,4,0,Moderate
Karnataka,Hubli-Dharwad,"Lakamanahali Industrial Area, Dharwad",432,RIRuO,69,10,27,13,10,12,15,3,0,Low
Karnataka,Hubli-Dharwad,"Rani Chennamma Circle, Hubli",431,RIRuO,95,10,28,13,10,13,15,3,0,Low
Karnataka,Mangalore,"Stides Premises, Baikampady IndustrialArea",488,RIRuO,105,5,18,8,5,6,13,4,0,Low
Karnataka,Mysore,K.R.Circle,40,RIRuO,94,17,40,28,21,27,37,6,0,Moderate
Karnataka,Mysore,KSPCB Bldg. Hebbal Ind. Area,328,RIRuO,117,16,68,28,19,27,36,8,0,Moderate
Kerala,Alappuzha,"District Office, Alissery Road",618,RIRuO,120,5,6,5,5,5,5,Null,0,Low
Kerala,Alappuzha,"DC Mills, Pathirappally",617,RIRuO,120,5,8,5,5,5,5,Null,0,Low
Kerala,Kochi,Eloor I,149,RIRuO,90,5,11,5,5,5,6,1,0,Low
Kerala,Kochi,Eloor II,29,RIRuO,91,5,12,6,5,6,7,2,0,Low
Kerala,Kochi,Irumpanam,30,RIRuO,109,5,22,11,8,10,15,3,0,Low
Kerala,Kochi,Ernakulum South,338,RIRuO,109,6,30,16,10,15,23,5,0,Low
Kerala,Kochi,VYTTILA,562,RIRuO,108,6,27,14,9,13,19,4,0,Low
Kerala,Kochi,MG Road Bank Ernakulum,147,RIRuO,109,6,30,13,8,12,20,5,0,Low
Kerala,Kochi,Kalamassery,346,RIRuO,108,5,35,15,10,14,22,5,0,Low
Kerala,Kollam,"KSPCB, District Office, Kadappakada",621,RIRuO,117,6,44,19,9,18,30,8,0,Low
Kerala,Kollam,KMML Chavara,620,RIRuO,56,5,26,11,5,11,17,5,0,Low
Kerala,Kottayam,Kottayam,187,RIRuO,96,22,26,24,23,24,25,1,0,Moderate
Kerala,Kottayam,Vadavathoor,361,RIRuO,96,13,16,14,14,14,15,1,0,Low
Kerala,Kozhikode,Kozhikode City,360,RIRuO,108,5,20,10,6,10,14,3,0,Low
Kerala,Kozhikode,Nallalam,359,RIRuO,108,5,18,8,5,7,13,3,0,Low
Kerala,Malapuram,Kakkanchery Sijmak oils,623,RIRuO,108,5,6,5,5,5,5,Null,0,Low
Kerala,Palakkad,SEPR Refractories India Ltd.,311,RIRuO,121,5,12,6,5,5,9,2,0,Low
Kerala,Pathanamthitta,"Near District Office KSPCB, Makkam-kunnu",619,RIRuO,120,5,37,13,8,13,18,5,0,Low
Kerala,Thissur,"KSPCB, District Office, Poonkunnam",624,RIRuO,93,5,15,7,5,6,12,3,0,Low
Kerala,Wayanad,Sulthan Bathery,622,RIRuO,119,5,51,12,5,10,21,8,0,Low
Kerala,Trivandrum,PRS Hospital/COSMO,419,RIRuO,108,15,49,26,21,26,29,4,0,Moderate
Kerala,Trivandrum,SMV School,181,RIRuO,109,16,50,27,23,27,32,4,0,Moderate
Kerala,Trivandrum,VELI,357,RIRuO,106,13,24,18,16,18,21,2,0,Low
Kerala,Trivandrum,PETTAH,358,RIRuO,107,19,32,25,22,25,28,3,0,Moderate
Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam",122,RIRuO,73,11,67,21,12,19,28,9,0,Moderate
Madhya Pradesh,Bhopal,C E T P Govindpura,123,RIRuO,74,1,111,15,7,12,22,13,1,Low
Madhya Pradesh,Dewas,EID Perry (I) Limited,525,RIRuO,86,38,14,22,0,17,21,27,5,Moderate
Madhya Pradesh,Dewas,Dewas Metal Section,524,RIRuO,52,25,10,16,14,15,19,3,0,Low
Madhya Pradesh,Dewas,Vikas Nagar,523,RIRuO,79,30,11,18,14,17,21,3,0,Low
Madhya Pradesh,Gwalior,Dindayal Nagar,479,RIRuO,71,28,12,20,17,20,25,4,0,Low
Madhya Pradesh,Gwalior,Maharaj Bada,478,RIRuO,58,31,12,20,16,20,24,4,0,Low
Madhya Pradesh,Indore,Polo Ground,127,RIRuO,89,8,51,21,11,21,31,8,0,Moderate
Madhya Pradesh,Indore,"Kothari Market, M.G. Road",128,RIRuO,94,5,48,19,10,20,26,7,0,Low
Madhya Pradesh,Indore,"Telephone Nagar, Kanadia Road",131,RIRuO,91,4,29,13,8,13,17,4,0,Low
Madhya Pradesh,Jabalpur,Vijay Nagar,248,RIRuO,21,28,22,25,22,24,27,2,0,Null
Madhya Pradesh,Nagda,B C I Labour Club,84,RIRuO,91,37,15,22,18,21,26,4,0,Moderate
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,246,RIRuO,98,54,18,26,20,26,30,5,0,Moderate
Madhya Pradesh,Sagar,"Pt.Deendayal Nagar, Housing BoardColony",532,RIRuO,72,21,8,17,15,18,20,2,0,Low
Madhya Pradesh,Satna,Sub-divisional Office E/M LightMachniery,343,RIRuO,80,9,5,6,5,7,8,1,0,Low
Madhya Pradesh,Satna,Regional Office MPPCB,342,RIRuO,96,8,5,6,5,6,7,1,0,Low
Madhya Pradesh,Singrauli,Jayant Township,515,RIRuO,13,29,22,26,23,25,28,2,0,Null
Madhya Pradesh,Singrauli,"N.T.P.C., Vidyanagar",514,RIRuO,19,21,17,19,17,19,20,1,0,Null
Madhya Pradesh,Singrauli,Waidhan,516,RIRuO,13,15,10,13,11,13,14,1,0,Null
Madhya Pradesh,Ujjain,District Office,527,RIRuO,71,30,13,17,14,16,21,3,0,Low
Madhya Pradesh,Ujjain,Regional Office,526,RIRuO,42,11,8,9,8,9,10,1,0,Null
Madhya Pradesh,Ujjain,Mahakal Temple,528,RIRuO,51,42,11,14,11,13,15,5,0,Low
Maharashtra,Amravati,M/s Apurva Oil and Industries Pvt. Ltd,549,RIRuO,88,10,18,14,12,14,16,2,0,Low
Maharashtra,Amravati,Govt College of Engineering,548,RIRuO,97,9,16,13,11,13,15,2,0,Low
Maharashtra,Amravati,Rajkamal Square,547,RIRuO,96,10,20,16,13,16,18,2,0,Low
Maharashtra,Aurangabad,S.B.E.S. College,511,RIRuO,109,12,34,22,15,22,27,5,0,Moderate
Maharashtra,Aurangabad,Collector Ofiice,512,RIRuO,108,11,34,19,14,19,24,4,0,Low
Maharashtra,Aurangabad,"C.A.D.A. Ofiice, Garkheda",513,RIRuO,97,11,46,20,14,20,26,6,0,Low
Maharashtra,Badlapur,BIWA Office,649,RIRuO,92,9,175,73,27,68,115,37,29,Critical
Maharasthtra,Chandrapur,Grampanchat Ghughus,267,RIRuO,93,9,64,27,14,24,43,12,0,Moderate
Maharasthtra,Chandrapur,MIDC Chandrapur,281,RIRuO,96,9,64,26,14,27,41,11,0,Moderate
Maharasthtra,Chandrapur,Nagar Parishad,396,RIRuO,97,9,75,30,15,28,51,15,0,Moderate
Maharasthtra,Chandrapur,"Gadchandur Gram Panchayat, Rajura",640,RIRuO,74,8,65,23,9,19,39,13,0,Moderate
Maharasthtra,Chandrapur,"MIDC, Tadali",638,RIRuO,62,7,40,18,9,18,29,7,0,Low
Maharasthtra,Chandrapur,"Muncipal Council, Ballarshah",639,RIRuO,94,11,101,34,14,32,55,18,2,Moderate
Maharasthtra,Jalgaon,B. J. Market,644,RIRuO,69,29,54,43,36,44,49,5,0,High
Maharasthtra,Jalgaon,Girna water tank,645,RIRuO,68,31,53,41,36,41,47,4,0,High
Maharasthtra,Jalgaon,MIDC Jalgaon,646,RIRuO,70,41,135,51,44,50,55,11,1,High
Maharasthtra,Kolhapur,"University Campus, Shivaji University,",508,ES (Sahyadri),100,7,12,10,8,10,12,1,0,Low
Maharasthtra,Kolhapur,"Ruikar Trust, Dabholkar Corner, ST Stand",509,ES (Sahyadri),92,16,37,26,20,25,33,5,0,Moderate
Maharasthtra,Kolhapur,"Mahadwar Road, Near Mahalaxmi Temple",510,ES (Sahyadri),20,102,12,29,15,20,25,4,0,Null
Maharasthtra,Latur,MIDC Water Works,641,RIRuO,96,9,43,17,10,16,25,6,0,Low
Maharasthtra,Latur,Terrace of Kshewraj Vidyalaya Shyamna- gar,642,RIRuO,104,9,33,16,9,15,23,5,0,Low
Maharasthtra,Latur,Terrace of Sidhheshwar Sahakari BankGanjgolai,643,RIRuO,61,9,35,16,10,15,22,5,0,Low
