CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1998-12-31,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,1999-12-31,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2000-12-31,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2001-12-31,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2002-12-31,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2003-12-31,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2004-12-31,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2005-12-31,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2006-12-31,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2007-12-31,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2008-12-31,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2009-12-31,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2010-12-31,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2011-12-31,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2012-12-31,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2013-12-31,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2014-12-31,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2015-12-31,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2016-12-31,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Life Expectancy at Birth,World Population Prospects,Years,Annually,,DMLEBINABSGLA,Life Expectancy at Birth - India,2017-12-31,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
