CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1986-12-31,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1987-12-31,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1988-12-31,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1989-12-31,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1990-12-31,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1991-12-31,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1992-12-31,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1993-12-31,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1994-12-31,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1995-12-31,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1996-12-31,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
