CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2016-04-30,223827,5507,418,4008,4156,2418,1091,18509,13145,3431,3296,3457,18510,16001,7420,31947,394,681,165,465,3582,8598,11086,397,16270,,338,21743,3375,5823,209,1128,15453,599,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2016-05-31,235106,6328,503,4824,4027,2318,1463,19844,14092,3643,3893,3689,21413,16107,8327,30139,435,613,194,506,3373,9693,12589,368,16065,,353,21155,3747,6221,185,1935,16258,576,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2016-06-30,223072,7874,494,4524,3679,2397,1266,18096,12230,2565,4012,3402,21464,17048,6882,27638,491,721,169,493,3356,9251,10762,383,18702,,371,18291,3478,6074,159,1222,14709,675,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2016-07-31,218848,5621,437,5168,3882,2337,1443,18814,12478,2867,1985,3614,17431,17811,6755,28781,602,747,192,466,3279,9439,10964,355,18139,,258,17875,3526,5852,162,1425,15258,667,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2016-08-31,235390,5718,415,4954,3839,2253,2070,19300,12726,3540,2144,3563,23784,22324,6339,31970,578,842,188,586,3297,9462,10049,377,20526,,327,17263,2961,6434,238,1624,14739,792,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2016-09-30,220589,5354,403,5281,3350,2056,1667,17728,12293,2883,2291,3372,18752,25877,7625,31646,526,777,217,451,3349,7305,9172,362,18951,,378,15009,2994,6615,219,1064,11675,759,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2016-10-31,285801,6443,390,5212,4144,4212,2214,33158,11250,3176,2791,3242,23380,23203,7019,44900,619,808,280,535,3844,11399,15522,343,17371,,405,24735,3609,6940,222,1396,22025,675,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2016-11-30,249418,6184,438,3977,4808,3555,1372,22032,15036,5203,2668,3444,19791,18058,10134,31752,535,792,252,455,5120,8295,14626,321,16572,,312,28178,4303,6620,284,1546,11901,595,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2016-12-31,208746,5159,391,4933,5179,2262,1676,16698,10540,3824,3032,5484,13200,13669,9932,24577,389,680,319,320,4118,11402,12556,255,13148,,354,18404,2419,6114,192,1385,15351,570,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2017-01-31,285184,6258,496,5223,3473,3200,1938,24157,17323,4138,3187,5075,26232,25381,7626,36873,373,1014,290,506,4388,11308,12687,254,21617,,420,27359,4673,7998,223,1877,18559,865,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2017-02-28,239759,5594,437,6725,3999,2407,1420,21312,14291,3784,3776,1986,18167,15558,9037,27345,483,927,321,128,4276,10984,13686,299,16663,,380,25868,3695,6736,160,1309,17092,705,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2017-03-31,281089,6407,591,7701,3937,2644,2150,24138,17912,4279,5282,6074,22555,17848,9700,35300,594,934,351,628,4101,12567,14691,391,21232,,362,25341,4086,8067,246,1832,17937,907,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2017-04-30,245238,6188,595,5073,3610,2883,1588,21806,11793,3601,3658,4947,20188,18490,7584,31933,644,761,226,584,4000,9829,13352,386,16489,,378,25876,3963,6804,211,1292,15589,687,,,,,,,
Industry,Automobiles,MORTH,Number,Monthly,NA,INAUREGPVV11M,"Passenger Vehicle Registrations (Month, ex Telangana)",2017-05-31,257820,5817,710,5147,4807,3115,1505,21391,15503,4190,5508,4742,19608,20057,9816,31112,477,980,296,579,4490,10289,14189,368,17840,,418,25543,4107,7577,207,1504,14768,735,,,,,,,
