State,City,Station,Type,Numbers of  monitoring days (n),Sulfur Dioxide(SO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Karnataka,Hassan,KSRTC Bus Stand Building,Residential and other,107,4,2,0,Low
Kerala,Kochi,Eloor,Industrial,107,15,16,1,Low
Kerala,Kochi,Irumpanam,Industrial,107,BDL,2,0,Low
Kerala,Kochi,Kalamassery,Industrial,107,BDL,1,0,Low
Kerala,Kochi,Eloor II,Industrial,107,8,7,0,Low
Kerala,Kochi,Ernakulum south,Residential and other,108,BDL,3,0,Low
Kerala,Kochi,M. G. Road,Residential and other,107,4,3,0,Low
Kerala,Tiruvanantha-puram,Hitech Chackai,Industrial,106,16,5,0,Low
Kerala,Tiruvanantha-puram,SMV School,Residential and other,101,7,4,0,Low
Kerala,Tiruvanantha-puram,Pettah,Residential and other,101,6,1,0,Low
Kerala,Tiruvanantha-puram,PRS Hospital,Sensitive,103,7,3,1,Low
Kerala,Kozhikode,Nallalam,Industrial,108,BDL,0,0,Low
Kerala,Kozhikode,KSRTC Kozhikode,Residential and other,107,BDL,0.3,0,Low
Kerala,Kottayam,Vadavathoor,Industrial,96,5,1,0,Low
Kerala,Kottayam,Kottayam,Residential and other,99,6,1,0,Low
Kerala,Kottayam,SEPR Refractories India Ltd. Kanjikode,Industrial,119,BDL,1,0,Low
Madhya Pradesh,Bhopal,CEPT Govindpura,Industrial,52,9,4,0,Low
Madhya Pradesh,Bhopal,Hamidia Road,Residential and other,53,11,4,0,Low
Madhya Pradesh,Bhopal,TT Nagar,Residential and other,41,5,1,0,NA
Madhya Pradesh,Bhopal,Arera Colony,Residential and other,164,BDL,0,0,Low
Madhya Pradesh,Jabalpur,Vijay Nagar,Residential and other,90,BDL,0,0,Low
Madhya Pradesh,Nagda,Chemical Div. Labour Club,Industrial,68,28,4,0,Low
Madhya Pradesh,Nagda,Grasim Guest House No-2,Residential and other,70,16,3,0,Low
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,Residential and other,73,18,4,0,Low
Madhya Pradesh,Satna,Sub-divisional Office,Industrial,76,4,1,0,Low
Madhya Pradesh,Satna,Regional Office,Residential and other,76,BDL,1,0,Low
Madhya Pradesh,Indore,Pologround,Industrial,78,10,3,0,Low
Madhya Pradesh,Indore,Kothari Market,Residential and other,92,11,4,0,Low
Madhya Pradesh,Indore,Scheme No-78,Residential and other,90,5,2,0,Low
Madhya Pradesh,Dewas,EID Perry(I) Ltd,Industrial,60,18,5,0,Low
Madhya Pradesh,Dewas,Sub R.O. MPCB,Residential and other,86,15,4,0,Low
Madhya Pradesh,Sagar,Pt.Deendayal Nagar,Residential and other,91,5,2,0,Low
Madhya Pradesh,Gwalior,Dindayal Nagar,Residential and other,81,9,1,0,Low
Madhya Pradesh,Gwalior,Maharaj Beda,Residential and other,85,9,1,0,Low
Madhya Pradesh,Ujjain,District Office,Industrial,85,15,4,0,Low
Madhya Pradesh,Ujjain,Regional Office,Residential and other,101,8,3,0,Low
Madhya Pradesh,Ujjain,Mahakal Temple,Sensitive,86,14,4,44,Low
Maharashtra,Mumbai,Parel,Industrial,96,10,7,0,Low
Maharashtra,Mumbai,Worli,Residential and other,94,10,8,0,Low
Maharashtra,Mumbai,Kalbadevi,Residential and other,96,11,10,0,Low
Maharashtra,Solapur,WIT Campus,Industrial,108,16,2,0,Low
Maharashtra,Solapur,Voronoko Primary School Rang Bhawan,Residential and other,104,17,3,0,Low
Maharashtra,Thane,Balkum/Kolshet,Industrial,65,14,2,0,Low
Maharashtra,Thane,Kopri,Residential and other,81,11,2,0,Low
Maharashtra,Thane,Naupada,Residential and other,73,11,2,0,Low
Maharashtra,Nagpur,MIDC Office,Industrial,82,10,2,0,Low
Maharashtra,Nagpur,Hingna Road,Industrial,95,8,10,0,Low
Maharashtra,Nagpur,Institution of Engineers,Residential and other,82,9,2,0,Low
Maharashtra,Nagpur,Govt.Polytechnic College,Residential and other,85,9,2,0,Low
Maharashtra,Nagpur,"Nagpur Corporation Building, Maskasath",Residential and other,93,5,4,0,Low
Maharashtra,Nagpur,"NEERI Lab., Nehru Marg",Residential and other,91,5,6,0,Low
Maharashtra,Pune,Bhosari,Industrial,99,21,4,0,Low
Maharashtra,Pune,Swargate,Residential and other,103,20,4,0,Low
Maharashtra,Pune,Nalstop,Residential and other,104,20,4,0,Low
Maharashtra,Nasik,VIP Industrial Area,Industrial,104,44,6,0,Moderate
Maharashtra,Nasik,RTO Colony Tank,Residential and other,104,36,5,0,Moderate
Maharashtra,Nasik,Nasik Municipal Council Building,Residential and other,103,49,6,0,Moderate
Maharashtra,Chandarpur,"MIDC, Chandrapur",Industrial,106,41,15,0,Moderate
Maharashtra,Chandarpur,Gram Panchayat Ghugus,Residential and other,96,39,11,0,Moderate
Maharashtra,Chandarpur,Nagar Parishad,Residential and other,104,34,13,1,Moderate
Maharashtra,Aurangabad,S.B.E.S. College,Residential and other,96,5,1,0,Low
Maharashtra,Aurangabad,C.A.D.A. Office,Residential and other,98,5,2,0,Low
Maharashtra,Aurangabad,Bibi Ka Maqbara,Sensitive,86,5,1,0,Low
Maharashtra,Kolhapur,"University Campus, Shivaji University",Residential and other,101,5,1,0,Low
Maharashtra,Kolhapur,"Ruikar Trust, Dabholkar Corner",Residential and other,104,9,3,0,Low
Maharashtra,Kolhapur,"Mahadwar Road , Near Mahalaxmi temple",Residential and other,88,7,2,0,Low
Maharashtra,Dombivali,Dombivali MIDC Phase-II ,Industrial,97,32,14,0,Low
Maharashtra,Dombivali,Ambernath Muncipal Council Office,Industrial,98,29,16,0,Low
Maharashtra,Navi Mumbai,MIDC Taloja,Industrial,101,24,18,0,Low
Maharashtra,Navi Mumbai,MPCB Central Lab,Industrial,99,18,17,0,Low
Maharashtra,Navi Mumbai,Airoli,Residential and other,81,13,10,0,Low
Maharashtra,Navi Mumbai,MESB Power Station,Residential and other,86,12,10,0,Low
Maharashtra,Navi Mumbai,Nerul,Residential and other,100,16,16,1,Low
Maharashtra,Navi Mumbai,Panvel,Residential and other,116,11,4,0,Low
Maharashtra,Lote,MIDC WTP,Industrial,104,19,11,0,Low
Maharashtra,Lote,Chalke Wadi,Residential and other,85,18,10,0,Low
Maharashtra,Tarapur,MIDC Compound,Industrial,68,26,15,0,Low
Maharashtra,Tarapur,Police Chowki,Industrial,62,22,13,0,Low
Maharashtra,Tarapur,Sport Stadium,Industrial,64,27,12,0,Low
Maharashtra,Amravati,Apurva Oil and Ind.,Industrial,96,10,2,0,Low
Maharashtra,Amravati,Govt. College of Engineering,Residential and other,94,9,2,0,Low
Maharashtra,Amravati,Rajkamal Square,Residential and other,96,11,3,0,Low
Manipur,Imphal,Secretariat Building,Residential and other,45,BDL,1,0,NA
Meghalaya,Shillong,Boards Office Premises,Residential and other,77,BDL,0.2,0,Low
Meghalaya,Shillong,MUDA Complex Police Bazar,Residential and other,58,4,2,0,Low
Mizoram,Aizawal,Bawongkawn,Residential and other,98,BDL,0,0,Low
Mizoram,Aizawal,Khatla,Residential and other,98,BDL,0.3,0,Low
Mizoram,Aizawal,Laipuitlang,Residential and other,98,BDL,0.3,0,Low
Nagaland,Dimapur,Bank colony,Residential and other,104,BDL,0.4,0,Low
Nagaland,Dimapur,Dhobinala,Residential and other,104,BDL,1,0,Low
Orrisa,Talcher,T.T.P.S. Colony,Industrial,108,8,2,0,Low
Orrisa,Talcher,Coal Field,Industrial,97,10,2,0,Low
Orrisa,Angul,Industrial Estate,Industrial,107,6,1,0,Low
Orrisa,Angul,NALCO Nagar Township,Residential and other,107,5,1,0,Low
Orrisa,Rourkela,IDL Police Outpost,Residential and other,100,6,0.4,0,Low
Orrisa,Rourkela,Regional Office,Residential and other,103,5,0.4,0,Low
Orrisa,Rayagada,Jaykaypur,Industrial,94,BDL,1,0,Low
Orrisa,Rayagada,Regional Office,Residential and other,97,BDL,1,0,Low
Orrisa,Bhubaneshwar,SPCB Building,Residential and other,105,BDL,1,0,Low
Orrisa,Bhubaneshwar,IRC Village,Residential and other,105,BDL,2,0,Low
Orrisa,Bhubaneshwar,Capital Police Station,Residential and other,101,BDL,2,0,Low
Orrisa,Cuttack,R.O. Cuttack Office,Residential and other,104,BDL,1,0,Low
Orrisa,Cuttack,Roof of Traffic Tower,Residential and other,106,BDL,1,0,Low
Orrisa,Sambalpur,Roof of Filter Plant PHD Off.,Residential and other,111,BDL,3,0,Low
Orrisa,Behrampur,Regional Office,Residential and other,107,BDL,0.4,0,Low
Orrisa,Balasore,Sahadevkhunta,Residential and other,100,BDL,0.1,0,Low
Pondicherry,Pondicherry,PIPDIC Ind Estate,Industrial,87,5,2,0,Low
Pondicherry,Pondicherry,DSTE Office,Residential and other,93,4,2,0,Low
Pondicherry,Pondicherry,Chamber of Commerce,Residential and other,97,4,1,0,Low
Punjab,Ludhiana,Milk Plant,Industrial,136,9,1,0,Low
Punjab,Ludhiana,Rita Sewing Machine,Industrial,125,12,4,0,Low
Punjab,Ludhiana,Vishwakarma Chowk,Residential and other,137,9,1,0,Low
Punjab,Ludhiana,PPCB Office Building,Residential and other,124,10,2,0,Low
Punjab,Jalandhar,Focal Point,Industrial,90,14,2,0,Low
Punjab,Jalandhar,M/s Gee Kay International ,Industrial,115,13,1,0,Low
Punjab,Jalandhar,Regional Office,Residential and other,111,11,1,0,Low
Punjab,Jalandhar,MC Tubewell,Residential and other,85,12,1,0,Low
Punjab,Gobindgarh,M/s Raj Steel Rolling Mills,Industrial,67,11,3,0,Low
Punjab,Gobindgarh,M/s Modi Oil & General Mills,Residential and other,132,13,3,0,Low
Punjab,Gobindgarh,United Rolling Machine,Residential and other,42,12,2,0,NA
Punjab,Naya Nangal,M/s Punjab Alkalis & Chemicals Ltd.,Residential and other,112,9,3,0,Low
Punjab,Naya Nangal,M/s NFL Guest House,Residential and other,120,10,3,0,Low
Punjab,Amritsar,Nagina Soap Factory,Industrial,77,13,1,0,Low
Punjab,Amritsar,A-1 Platters,Residential and other,86,14,1,0,Low
Punjab,Bathinda,"M/s Bhantinda Dist, Coop Milk Procedures Union Ltd.",Industrial,124,14,5,0,Low
Punjab,Khanna,Markfed Vanaspati,Industrial,127,10,2,0,Low
Punjab,Khanna,A S School ,Residential and other,122,9,1,0,Low
Punjab,Derabessi,M/s Punjab Chemicals and Crop Protection Ltd.,Industrial,129,12,3,0,Low
Punjab,Derabessi,M/s Winsome Yarns Ltd.,Industrial,143,11,3,0,Low
Rajasthan,Alwar,RIICO Pump House,Industrial,94,7,3,0,Low
Rajasthan,Alwar,Vitage Distillers Ltd.,Industrial,89,9,3,0,Low
Rajasthan,Alwar,Regional Office,Residential and other,85,8,2,0,Low
Rajasthan,Jaipur,VKIA,Industrial,102,9,8,0,Low
Rajasthan,Jaipur,"RIICO Office, M.I.A.",Industrial,105,4,1,0,Low
Rajasthan,Jaipur,"Office of District Education Officer, Chandpole",Residential and other,105,5,1,0,Low
Rajasthan,Jaipur,Ajmeri Gate,Residential and other,102,5,2,0,Low
Rajasthan,Jaipur,Rajasthan SPCB Office,Residential and other,108,4,1,0,Low
Rajasthan,Jaipur,"Regional Office(North), RSPCB, Vidaya Nagar",Residential and other,102,5,1,0,Low
Rajasthan,Jodhpur,R.O. Office,Industrial,95,7,1,0,Low
Rajasthan,Jodhpur,DIC Office,Industrial,97,7,1,0,Low
Rajasthan,Jodhpur,Sojati Gate,Residential and other,97,7,1,0,Low
Rajasthan,Jodhpur,Maha Mandir Police Thana,Residential and other,96,5,1,0,Low
Rajasthan,Jodhpur,Shastri Nagar Police Thane,Residential and other,99,7,1,0,Low
Rajasthan,Jodhpur,Office of Housing Board,Residential and other,99,5,1,0,Low
Rajasthan,Kota,Regional Office,Industrial,103,8,2,0,Low
Rajasthan,Kota,KVK Bhorkhara,Residential and other,103,8,2,0,Low
Rajasthan,Kota,Municipal Corporation Bldg,Residential and other,104,8,2,0,Low
Rajasthan,Udaipur,Regional Office,Industrial,93,13,3,0,Low
Rajasthan,Udaipur,Town Hall,Residential and other,99,8,3,0,Low
Rajasthan,Udaipur,Amabmata,Residential and other,96,7,2,0,Low
Tamil Nadu,Chennai,Thiruvottiyur Municipal Office,Industrial,91,11,11,0,Low
Tamil Nadu,Chennai,Kathhivakkam,Industrial,97,13,4,0,Low
Tamil Nadu,Chennai,Manali,Industrial,101,13,5,0,Low
Tamil Nadu,Chennai,Thiruvottiyur,Industrial,98,13,4,0,Low
Tamil Nadu,Chennai,Madras Medical College,Residential and other,43,9,8,0,NA
Tamil Nadu,Chennai,NEERI CSIR Campus,Residential and other,95,9,9,0,Low
Tamil Nadu,Coimbatore,SIDCO Office,Industrial,88,7,3,0,Low
Tamil Nadu,Coimbatore,Dist. Collectors Office,Residential and other,86,6,2,0,Low
Tamil Nadu,Coimbatore,Poniarajapuram,Residential and other,92,7,3,0,Low
Tamil Nadu,Madurai,Fenner (I) Ltd.,Industrial,97,11,2,0,Low
Tamil Nadu,Madurai,Highway,Residential and other,101,8,1,0,Low
Tamil Nadu,Madurai,Kunnathur Chatram,Residential and other,96,9,1,0,Low
Tamil Nadu,Tuticorin,Raja Agencies,Industrial,90,28,18,1,Low
Tamil Nadu,Tuticorin,Fisheries College,Residential and other,94,29,16,1,Low
Tamil Nadu,Tuticorin,AVM Jewellery Building,Residential and other,85,28,15,0,Low
Tamil Nadu,Salem,Sowdeswari College Building,Residential and other,146,8,2,0,Low
Uttar Pradesh,Lucknow,Talkatora,Industrial,107,9,1,0,Low
Uttar Pradesh,Lucknow,Kapoor Hotel,Residential and other,106,8,1,0,Low
Uttar Pradesh,Lucknow,Mahanagar,Residential and other,107,8,1,0,Low
Uttar Pradesh,Lucknow,Aminabad,Residential and other,109,9,1,0,Low
Uttar Pradesh,Lucknow,Aliganj,Residential and other,104,9,1,0,Low
Uttar Pradesh,Kanpur,Fazalganj,Industrial,83,7,1,0,Low
Uttar Pradesh,Kanpur,Jajmau,Industrial,86,7,1,0,Low
Uttar Pradesh,Kanpur,Deputy ka Padao,Residential and other,83,7,1,0,Low
Uttar Pradesh,Kanpur,Kidwai Nagar,Residential and other,95,7,1,0,Low
Uttar Pradesh,Kanpur,Sharda Nagar,Residential and other,78,7,1,0,Low
Uttar Pradesh,Varanasi,Regional Office,Residential and other,91,16,1,0,Low
Uttar Pradesh,Varanasi,Shivpur/Sira,Residential and other,71,16,1,0,Low
Uttar Pradesh,Anpara,Anapara Colony,Industrial,104,20,1,0,Low
Uttar Pradesh,Anpara,Renusagar Colony,Industrial,103,20,1,0,Low
Uttar Pradesh,Gajraula,Raunaq Auto Limited,Industrial,70,28,5,0,Low
Uttar Pradesh,Ghaziabad,Shahibabad Industrial Area,Industrial,75,21,6,0,Low
Uttar Pradesh,Ghaziabad,Bulandshahar Road Industrial Area,Industrial,62,19,5,0,Low
Uttar Pradesh,Agra,TajMahal,Sensitive,257,6,2,0,Low
Uttar Pradesh,Agra,Itmad ud daulah,Sensitive,115,5,2,0,Low
Uttar Pradesh,Agra,Rambagh,Sensitive,109,5,1,0,Low
Uttar Pradesh,Agra,DIC Nunhai,Sensitive,109,5,1,0,Low
Uttar Pradesh,Noida,M/s GEE PEE Electroplating and Engineering  Works,Industrial,96,13,3,0,Low
Uttar Pradesh,Noida,Regional Office,Residential and other,97,13,2,0,Low
Uttar Pradesh,Firozabad,Center for Development of Glass Industry,Industrial,93,23,6,0,Low
Uttar Pradesh,Firozabad,Tilak Nagar,Residential and other,92,18,5,0,Low
Uttar Pradesh,Firozabad,Raza ka Tal,Residential and other,90,20,5,0,Low
Uttar Pradesh,Khurja,CGCRI,Industrial,84,47,12,0,Moderate
Uttar Pradesh,Khurja,Ahirpara,Residential and other,71,43,12,0,Moderate
Uttar Pradesh,Jhansi,Jail Chauraha,Residential and other,112,9,1,0,Low
Uttar Pradesh,Jhansi,Veerangna Nagar,Residential and other,111,8,1,0,Low
Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd.,Residential and other,34,15,5,0,NA
Uttar Pradesh,Allahabad,Square crossing,Residential and other,35,25,10,0,NA
Uttar Pradesh,Meerut,Begum Bridge,Residential and other,55,11,1,0,Low
Uttar Pradesh,Meerut,Thana Railway road,Residential and other,57,10,1,0,Low
Uttaranchal,Dehradun ,Raipur Road,Industrial,14,20,1,0,NA
Uttaranchal,Dehradun ,Clock Tower,Residential and other,67,27,2,0,Low
West Bengal,Kolkata,Cossipore,Industrial,95,16,14,0,Low
West Bengal,Kolkata,Behala Chowrasta,Industrial,104,7,2,0,Low
West Bengal,Kolkata,Dunlop Bridge,Industrial,104,6,2,0,Low
West Bengal,Kolkata,Lal Bazaar,Residential and other,96,14,13,0,Low
West Bengal,Kolkata,Kasba,Residential and other,96,12,12,0,Low
West Bengal,Kolkata,Baishabghate,Residential and other,104,5,1,0,Low
West Bengal,Kolkata,Salt Lake,Residential and other,104,6,2,0,Low
West Bengal,Kolkata,Minto Park,Residential and other,105,5,2,0,Low
West Bengal,Kolkata,Maulali,Residential and other,104,6,2,0,Low
West Bengal,Haldia,WBIIDC,Industrial,96,10,2,0,Low
West Bengal,Haldia,Super Market,Industrial,105,9,2,0,Low
West Bengal,Durgapur,Dew India Ltd,Industrial,105,10,3,0,Low
West Bengal,Durgapur,Kwality Hotel,Industrial,95,7,2,0,Low
West Bengal,Durgapur,PCBL Club,Residential and other,105,5,1,0,Low
West Bengal,Asansol,Asansol Municipal Corporation,Industrial,105,7,2,0,Low
West Bengal,Howrah,Howrah Municipal Corporation,Industrial,105,6,2,0,Low
West Bengal,Howrah,Bandhaghat,Industrial,103,11,6,0,Low
West Bengal,Howrah,Ghuseri Naskarpara,Residential and other,105,8,4,0,Low
West Bengal,Howrah,Bator,Residential and other,105,5,2,0,Low
