State,City,Station,Type,Numbers of  monitoring days (n),Sulfur Dioxide(SO2)-  Annual average (µg/m3),Percentage- exceedence(24 hourly),Air Quality
Chhattisgarh,Bhilai Nagar,Regional Office,Residential and other,76,6,0,Low
Chhattisgarh,Bhilai Nagar,Visak Hostel,Residential and other,79,21,0,Low
Chhattisgarh,Korba," I.T.I, Rampur",Residential and other,102,14,0,Low
Chhattisgarh,Korba,"HIG 21,22, MP Nagar (Extn)",Residential and other,109,13,0,Low
Chhattisgarh,Korba,Pragati Nagar,Residential and other,89,13,0,Low
Chhattisgarh,Raipur,Wool Worth I.Pvt.Ltd,Industrial,60,17,0,Low
Chhattisgarh,Raipur,"New HIG - 9, Hirapur",Residential and other,62,20,0,Low
Chhattisgarh,Raipur,Yatayat Thana,Residential and other,44,19,0,Low
Dadra & Nagar Haveli,Silvasa,Khadoli Industrial Area,Industrial,104,10,0,Low
Dadra & Nagar Haveli,Silvasa,Chetan Guest House,Residential and other,104,10,0,Low
Daman & Diu,Daman,Kadaiya,Industrial,104,10,0,Low
Daman & Diu,Daman,Airport Road,Residential and other,102,9,0,Low
Delhi,Delhi,Mayapuri Indl. Area,Industrial,96,13,0,Low
Delhi,Delhi,Shahdara,Industrial,75,5,0,Low
Delhi,Delhi,Shahzada Bagh,Industrial,68,6,0,Low
Delhi,Delhi,Janakpuri,Residential and other,77,5,0,Low
Delhi,Delhi,N.Y. School,Residential and other,79,5,0,Low
Delhi,Delhi,Nizamuddin,Residential and other,66,5,0,Low
Delhi,Delhi,Pitampura,Residential and other,69,5,0,Low
Delhi,Delhi,Siri Fort,Residential and other,75,5,0,Low
Delhi,Delhi,Town Hall,Residential and other,96,10,0,Low
Goa,Mormugao,Mormugao Port Trust,Industrial,101,BDL,0,Low
Goa,Panaji,"Patto, Panaji",Residential and other,104,BDL,0,Low
Goa,Vasco,Electricity Deptt.,Industrial,100,BDL,0,Low
Gujarat,Ahmedabad,Naroda,Industrial,104,13,0,Low
Gujarat,Ahmedabad,Shardaban Hospital,Industrial,97,12,0,Low
Gujarat,Ahmedabad,Cadilla Bridge Narol,Residential and other,105,13,0,Low
Gujarat,Ahmedabad,Behrampura,Residential and other,104,12,0,Low
Gujarat,Ahmedabad,L.D. Eng. College,Residential and other,104,12,0,Low
Gujarat,Ahmedabad,R.C. High School,Residential and other,102,12,0,Low
