state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,year
Bihar,1366.0,2716.0,2812.0,712.0,1477.0,1506.0,1980.0,1850.0,1915.0,2797.0,4382.0,3194.0,26707.0,2009
Chandigarh,97.0,91.0,88.0,116.0,178.0,51.0,189.0,152.0,2.0,112.0,191.0,39.0,1306.0,2009
Chhattisgarh,8595.0,7880.0,7008.0,4701.0,5009.0,5907.0,7220.0,10322.0,8270.0,8051.0,9061.0,7893.0,89917.0,2009
Delhi,3837.0,5013.0,6980.0,3460.0,3034.0,1872.0,2363.0,2217.0,2612.0,2988.0,4558.0,4045.0,42979.0,2009
Goa,134.0,169.0,182.0,65.0,87.0,98.0,273.0,264.0,377.0,163.0,171.0,172.0,2155.0,2009
Gujarat,1285.0,1153.0,1214.0,1984.0,2211.0,1949.0,2378.0,3452.0,3190.0,3624.0,2943.0,2171.0,27554.0,2009
Haryana,6647.0,5073.0,4499.0,3371.0,3310.0,3544.0,3826.0,4184.0,4427.0,3314.0,4217.0,5361.0,51773.0,2009
Himachal Pradesh,1564.0,698.0,826.0,923.0,446.0,375.0,997.0,1085.0,1351.0,964.0,1489.0,2881.0,13599.0,2009
Jammu & Kashmir,2093.0,1835.0,1636.0,1123.0,1214.0,1274.0,1789.0,1484.0,1335.0,1664.0,1720.0,2572.0,19739.0,2009
Jharkhand,786.0,616.0,371.0,508.0,428.0,622.0,827.0,1525.0,1094.0,905.0,463.0,623.0,8768.0,2009
Karnataka,12306.0,6397.0,8622.0,18673.0,7757.0,9762.0,9691.0,8299.0,8066.0,8464.0,8624.0,7242.0,113903.0,2009
